PktRec#,bsins,bsouts,bspbs,#Plausibles,#EventWindow,Extras,Misses,gtIns,gtOuts,gtPbnear,gtPbfar,gtlinger,gtll,gtmultiin,gtmultiout,gtmultipb
209,2,2,1,12,12,3,0,5,6,0,1,0,0,0,0,0
210,1,3,1,4,4,6,0,1,1,0,1,0,0,1,0,0
217,1,1,3,10,10,5,0,3,1,1,6,0,0,0,0,0
218,2,0,3,15,25,0,10,7,4,3,8,2,0,0,0,0
219,0,2,3,8,8,7,0,1,2,0,5,0,0,0,0,0
220,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
364,0,2,3,10,48,0,38,13,12,4,19,0,0,1,0,0
365,0,2,3,1,1,4,0,0,0,0,1,0,0,0,0,0
368,0,3,2,11,11,4,0,3,2,0,3,4,3,0,0,0
415,2,1,2,13,13,2,0,3,4,0,6,0,0,0,0,0
448,1,1,3,10,10,5,0,2,2,0,5,0,0,0,0,0
533,0,2,3,12,12,3,0,2,2,0,3,4,3,1,0,0
538,3,2,0,10,12,0,2,5,4,0,1,2,0,0,0,0
543,0,2,3,5,6,0,1,2,0,0,2,1,0,0,1,0
552,1,3,1,3,3,2,0,1,1,0,0,1,1,0,0,0
570,2,0,3,10,10,5,0,0,0,3,4,0,0,0,0,3
571,2,1,2,15,29,0,14,7,7,5,5,5,3,0,0,0
572,1,4,0,5,5,5,0,0,0,1,2,2,1,0,0,0
573,0,2,3,0,0,5,0,0,0,0,0,0,0,0,0,0
574,1,1,3,4,4,6,0,0,1,0,2,1,1,0,0,0
575,1,1,3,3,3,2,0,1,1,0,1,0,0,0,0,0
607,1,2,2,5,5,5,0,0,0,0,2,0,0,1,1,1
608,1,2,2,4,4,1,0,0,1,0,2,1,1,0,0,0
609,1,1,3,9,9,1,0,0,1,2,6,0,0,0,0,0
610,1,2,2,15,21,0,6,4,3,1,8,4,3,0,1,0
611,0,0,5,2,2,13,0,0,1,0,1,0,0,0,0,0
612,0,1,4,1,1,4,0,0,0,0,0,1,1,0,0,0
613,1,3,1,2,2,3,0,1,1,0,0,0,0,0,0,0
614,0,1,4,1,1,4,0,0,1,0,0,0,0,0,0,0
616,0,2,3,1,1,9,0,1,0,0,0,0,0,0,0,0
629,2,3,0,10,13,0,3,5,6,0,0,2,2,0,0,0
641,1,1,3,15,15,0,0,3,3,0,9,0,0,0,0,0
642,1,1,3,3,3,2,0,1,0,0,1,1,1,0,0,0
643,3,1,1,10,11,0,1,0,1,3,7,0,0,0,0,0
644,2,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0
645,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
646,1,1,3,6,6,4,0,2,2,1,1,1,1,0,0,0
647,0,2,3,0,0,5,0,0,0,0,0,0,0,0,0,0
648,0,1,4,0,0,5,0,0,0,0,0,0,0,0,0,0
649,0,1,4,0,0,5,0,0,0,0,0,0,0,0,0,0
650,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
651,1,1,3,1,1,4,0,0,0,0,1,0,0,0,0,0
652,1,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0
655,2,1,2,15,39,0,24,10,11,3,10,5,5,0,0,0
656,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
657,2,1,2,4,4,6,0,1,0,0,2,1,1,0,0,1
658,1,0,4,1,1,4,0,0,0,0,1,0,0,0,0,0
659,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0
660,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
661,1,0,4,3,3,7,0,0,0,0,3,0,0,0,0,0
662,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
663,0,0,5,1,1,9,0,0,0,0,1,0,0,0,0,0
664,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
665,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
666,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
667,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
668,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
669,1,0,4,5,5,10,0,1,0,1,2,1,1,0,0,0
670,1,1,3,0,0,15,0,0,0,0,0,0,0,0,0,0
671,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
672,0,1,4,2,2,3,0,0,0,1,1,0,0,0,0,0
673,0,3,2,1,1,4,0,0,1,0,0,0,0,0,0,0
675,3,1,1,10,10,5,0,2,2,0,4,0,0,0,0,2
676,0,1,4,0,0,10,0,0,0,0,0,0,0,0,0,0
677,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
678,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
679,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
680,1,2,2,5,5,0,0,1,1,0,0,1,1,2,0,0
681,0,0,5,3,3,2,0,0,1,0,1,1,1,0,0,0
682,0,4,1,2,2,3,0,0,0,0,0,2,2,0,0,0
683,0,4,1,1,1,4,0,0,0,0,0,0,0,1,0,0
684,0,2,3,4,4,1,0,0,1,0,2,0,0,0,0,1
685,1,2,2,4,4,1,0,2,0,1,1,0,0,0,0,0
686,0,1,4,3,3,2,0,0,1,0,0,2,2,0,0,0
687,0,2,3,1,1,4,0,0,0,0,0,1,1,0,0,0
688,0,2,3,1,1,4,0,0,0,0,0,1,1,0,0,0
689,0,0,5,1,1,4,0,0,1,0,0,0,0,0,0,0
690,1,1,3,2,2,3,0,0,1,0,1,0,0,0,0,0
691,0,3,2,1,1,4,0,0,0,0,0,1,1,0,0,0
692,0,0,5,1,1,4,0,0,0,0,0,0,0,0,0,1
693,0,1,4,0,0,5,0,0,0,0,0,0,0,0,0,0
694,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
695,0,3,2,2,2,3,0,0,0,0,0,1,1,0,0,2
696,1,2,2,3,3,2,0,1,0,0,2,0,0,0,0,0
697,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
698,0,1,4,1,1,4,0,0,0,0,1,0,0,0,0,0
699,0,1,4,0,0,15,0,0,0,0,0,0,0,0,0,0
700,0,3,2,1,1,4,0,0,1,0,0,0,0,0,0,0
703,0,3,2,5,7,0,2,3,4,0,0,0,0,0,0,0
704,2,2,1,2,2,3,0,1,1,0,0,0,0,0,0,0
721,0,2,3,4,4,6,0,2,0,0,2,0,0,0,0,0
728,2,0,3,5,5,5,0,2,1,0,1,0,0,0,0,0
733,0,3,2,4,4,1,0,1,3,0,0,0,0,0,0,0
