bayIDX,bayRecord,bayDate,bayTime,bayIn,bayOut,bayPassby,gtDate,gtTime,gtIns,gtOuts,gtPbN,gtPbF,gtLinger,gt_ll,gtMultiIn,gtMultiOut,gtMultiPb
0,9,1900-03-14,10:11:14,0,0,5,1900-03-27,10:10:24,3,0,0,0,0,0,1,0,0
1,9,1900-03-14,10:11:14,0,1,4,1900-03-14,10:10:24,3,0,0,0,0,0,1,0,1
2,14,1900-03-14,10:19:05,1,1,3,1900-03-14,10:15:30,1,1,0,0,0,0,0,0,0
3,17,1900-03-14,10:29:54,0,1,4,1900-03-14,10:30:08,0,0,0,1,0,0,0,1,0
4,20,1900-03-14,10:30:44,2,3,0,1900-03-14,10:30:43,0,1,0,0,0,0,0,3,0
5,23,1900-03-14,10:31:17,0,5,0,1900-03-14,10:31:18,0,1,0,0,0,0,0,3,0
6,26,1900-03-14,10:35:27,0,3,2,1900-03-14,10:36:10,1,4,0,0,0,0,0,0,0
7,29,1900-03-14,10:46:38,0,1,4,1900-03-14,10:46:49,1,0,0,0,0,0,0,0,0
8,33,1900-03-14,10:50:10,3,1,1,1900-03-14,10:50:08,1,1,0,1,0,0,1,0,0
9,36,1900-03-14,10:51:03,4,0,1,1900-03-14,10:50:59,4,0,0,0,0,0,1,0,0
10,39,1900-03-14,10:53:04,3,0,2,1900-03-14,10:53:08,4,0,0,0,0,0,0,0,0
11,44,1900-03-14,10:54:54,3,1,1,1900-03-14,10:54:51,1,1,0,0,0,0,1,0,0
12,47,1900-03-14,10:56:11,2,0,3,1900-03-14,10:56:07,1,1,0,0,0,0,0,0,0
13,50,1900-03-14,10:57:51,2,1,2,1900-03-14,10:57:47,1,1,0,0,0,0,0,0,0
14,53,1900-03-14,11:00:04,3,1,1,1900-03-14,11:00:02,3,0,1,1,1,1,0,0,0
15,61,1900-03-14,11:10:05,1,0,4,1900-03-14,11:00:28,1,0,0,0,0,0,0,0,0
16,67,1900-03-14,11:23:46,0,3,2,1900-03-14,11:23:46,1,0,0,0,0,0,0,0,0
17,86,1900-03-14,12:16:25,0,5,0,1900-03-14,12:16:23,0,2,1,0,1,1,0,1,0
18,86,1900-03-14,12:16:25,1,3,1,1900-03-14,12:16:23,0,1,0,0,0,0,0,4,0
19,89,1900-03-14,12:22:59,1,2,2,1900-03-14,12:21:17,0,3,0,0,0,0,0,1,0
20,97,1900-03-14,13:52:28,0,0,5,1900-03-14,13:51:01,0,3,0,0,0,0,0,2,0
21,97,1900-03-14,13:52:28,1,0,4,1900-03-14,13:51:01,0,0,1,0,1,0,0,0,1
22,97,1900-03-14,13:52:28,0,0,5,1900-03-14,13:51:01,0,0,0,0,0,0,0,0,0
23,98,1900-03-14,13:56:39,0,0,5,1900-03-14,13:51:01,0,0,0,0,0,0,0,0,0
24,99,1900-03-14,14:05:27,1,0,4,1900-03-14,13:51:01,0,3,0,0,0,0,0,2,0
25,99,1900-03-14,14:05:27,0,1,4,1900-03-14,13:51:01,0,0,0,0,0,0,0,0,0
26,101,1900-03-14,14:14:17,0,0,5,1900-03-14,13:51:01,0,0,0,0,0,0,0,0,0
27,106,1900-03-14,15:16:57,0,0,5,1900-03-14,15:16:58,1,1,0,0,0,0,1,0,0
