LabelType,Recover#,TimeDiff,BSidx,BSrecord#,DateTime,PktID,Validity,Total,Ins,Outs,Passbys,gtIdx,DateTime,gtIns,gtOuts,gtPb_near,gt_Pb_far,gtlinger,gtMultiIns,gtMultiOuts,gtMultiPbs
Null,0,,,,,,,,,,,1,1900-03-17 19:27:41,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,2,1900-03-17 19:32:09,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,3,1900-03-17 19:32:42,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,4,1900-03-17 19:52:45,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,5,1900-03-17 19:54:29,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,6,1900-03-17 19:54:44,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,7,1900-03-17 19:55:05,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,8,1900-03-17 19:55:15,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,9,1900-03-17 19:55:26,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,10,1900-03-17 19:55:41,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,11,1900-03-17 19:55:52,0,1,0,0,0,0,0,0
CONFIRMED,3,-6.0,2,209,1900-03-17 19:56:11,38,Valid,5,2,2,1,12,1900-03-17 19:56:17,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,13,1900-03-17 20:01:50,0,0,0,0,0,1,0,0
Null,0,,,,,,,,,,,14,1900-03-17 20:03:59,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,15,1900-03-17 20:04:08,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,16,1900-03-17 20:05:58,0,1,0,0,0,0,0,0
FPpkt,2,,3,210,1900-03-17 20:06:28,39,Valid,5,1,3,1,,,,,,,,,,
Null,0,,,,,,,,,,,17,1900-03-18 09:04:07,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,18,1900-03-18 09:10:28,0,0,1,0,0,0,0,0
Null,0,,,,,,,,,,,19,1900-03-18 09:19:25,1,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,20,1900-03-18 09:20:20,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,21,1900-03-18 09:26:22,1,0,0,0,0,0,0,0
