Doorway,Reviewer,Date,Event Time,Ins,Outs,Passby_near,Passby_far,Linger,Multi(IN),Multi(OUT),Multi(Passby),Comments
Doorway W1,Eric,13-Mar,8:41:00 PM,,1,,,,,,,"Not sure if the motion is an in or an out so I ASSUME all movements going to the right are outs, and all movements goung to the left are in."
Doorway W1,Eric ,13-Mar,8:42:00 PM,1,,,,,,,,
Doorway W1,Eric,13-Mar,8:42:14 PM,,1,,,,,,,
Doorway W1,Eric ,13-Mar,8:42:30 PM,1,,,,,,,,
Doorway W1,Eric,13-Mar,8:42:46 PM,,1,,,,,,,
Doorway W1,Eric ,13-Mar,8:43:02 PM,1,,,,,,,,
Doorway W1,Eric,13-Mar,8:44:26 PM,,1,,,,,,,
Doorway W1,Eric ,13-Mar,8:44:48 PM,1,,,,,,,,
Doorway W1,Eric,13-Mar,8:44:53 PM,,1,,,,,,,
Doorway W1,Eric ,13-Mar,8:45:11 PM,1,,,,,,,,
Doorway W1,Eric,13-Mar,8:48:57 PM,,1,,,,,,,"Camera didnt catch nicole walking through, only got her on edge of screen."
Doorway W1,Eric ,13-Mar,8:49:10 PM,1,,,,,,,,
Doorway W1,Eric,13-Mar,8:49:24 PM,,1,,,,,,,
Doorway W1,Eric ,13-Mar,8:49:39 PM,1,,,,,,,,
Doorway W1,Eric,13-Mar,8:49:55 PM,,,,1,,,,,
Doorway W1,Eric ,13-Mar,8:50:21 PM,1,,,,,,,,
Doorway W1,Eric,13-Mar,8:50:32 PM,,1,,,,,,,
Doorway W1,Eric ,13-Mar,8:50:48 PM,,,,1,,,,,
Doorway W1,Eric,13-Mar,8:51:01 PM,1,,,,,,,,
Doorway W1,Eric ,13-Mar,8:51:17 PM,,,,1,,,,,
Doorway W1,Eric,13-Mar,8:51:28 PM,,1,,,,,,,
Doorway W1,Eric ,13-Mar,8:51:43 PM,1,,,,,,,,
Doorway W1,Eric,13-Mar,8:51:50 PM,,,,1,,,,,
Doorway W1,Eric ,13-Mar,8:52:33 PM,,1,,,,,,,
Doorway W1,Eric,13-Mar,8:52:47 PM,1,,,,,,,,
Doorway W1,Eric ,13-Mar,8:53:13 PM,,1,,,,,,,
Doorway W1,Eric,13-Mar,8:55:35 PM,1,,,,,,,,
Doorway W1,Eric ,13-Mar,8:58:47 PM,,1,,,,,,,Nicole begain to take waldo apart
