Record#,Date,Time Stamp,Packet#,Validity,Total,Ins,Outs,Passby
6,14-Mar,10:09:08 AM,34,Valid,5,2,3,0
6,14-Mar,10:09:08 AM,35,Valid,5,1,3,1
6,14-Mar,10:09:08 AM,36,Valid,5,0,5,0
28,14-Mar,10:46:18 AM,38,Valid,5,1,4,0
28,14-Mar,10:46:18 AM,39,Valid,5,2,3,0
28,14-Mar,10:46:18 AM,40,Valid,5,3,2,0
30,14-Mar,10:48:45 AM,41,Valid,5,2,2,1
35,14-Mar,10:50:42 AM,42,Valid,5,5,0,0
42,14-Mar,10:53:17 AM,43,Valid,5,3,2,0
45,14-Mar,10:55:09 AM,44,Valid,5,1,3,1
48,14-Mar,10:57:01 AM,45,Valid,5,2,2,1
51,14-Mar,10:58:29 AM,46,Valid,5,3,1,1
57,14-Mar,11:04:38 AM,47,Valid,5,4,1,0
73,14-Mar,11:58:22 AM,50,Valid,5,2,3,0
73,14-Mar,11:58:22 AM,51,Valid,5,3,2,0
73,14-Mar,11:58:22 AM,52,Valid,5,2,3,0
79,14-Mar,12:03:41 PM,53,Valid,5,1,4,0
83,14-Mar,12:07:09 PM,54,Valid,5,3,2,0
88,14-Mar,12:17:20 PM,55,Valid,5,1,4,0
88,14-Mar,12:17:20 PM,56,Valid,5,2,3,0
91,14-Mar,12:23:01 PM,57,Valid,5,2,3,0
92,14-Mar,12:26:33 PM,58,Valid,5,2,3,0
94,14-Mar,12:29:51 PM,59,Valid,5,2,3,0
96,14-Mar,1:46:30 PM,63,Valid,5,2,3,0
96,14-Mar,1:46:30 PM,64,Valid,5,2,3,0
96,14-Mar,1:46:30 PM,65,Valid,5,2,2,1
103,14-Mar,2:16:33 PM,66,Valid,5,3,1,1
103,14-Mar,2:16:33 PM,67,Valid,5,3,2,0
103,14-Mar,2:16:33 PM,68,Valid,5,3,2,0
108,14-Mar,3:17:11 PM,70,Valid,5,3,1,1
108,14-Mar,3:17:11 PM,71,Valid,5,3,2,0
108,14-Mar,3:17:11 PM,72,Valid,5,0,4,1
112,14-Mar,3:18:53 PM,73,Valid,5,1,3,1
116,14-Mar,3:21:58 PM,74,Valid,5,3,1,1
124,14-Mar,4:03:48 PM,75,Valid,5,2,3,0
124,14-Mar,4:03:48 PM,76,Valid,5,3,1,1
124,14-Mar,4:03:48 PM,77,Valid,5,2,3,0
126,14-Mar,4:04:48 PM,78,Valid,5,3,2,0
128,14-Mar,4:18:27 PM,79,Valid,5,1,4,0
128,14-Mar,4:18:27 PM,80,Valid,5,3,2,0
129,14-Mar,4:19:24 PM,81,Valid,5,3,2,0
131,14-Mar,4:20:32 PM,82,Valid,5,2,3,0
144,14-Mar,4:41:36 PM,83,Valid,5,2,3,0
144,14-Mar,4:41:36 PM,84,Valid,5,3,2,0
151,14-Mar,4:43:48 PM,85,Valid,5,3,2,0
156,14-Mar,5:05:59 PM,86,Valid,5,2,3,0
156,14-Mar,5:05:59 PM,87,Valid,5,2,3,0
164,15-Mar,10:23:35 AM,98,Valid,5,1,2,2
164,15-Mar,10:23:35 AM,99,Valid,5,3,2,0
164,15-Mar,10:23:35 AM,100,Valid,5,1,2,2
174,15-Mar,1:29:36 PM,105,Valid,5,2,2,1
174,15-Mar,1:29:36 PM,106,Valid,5,2,3,0
174,15-Mar,1:29:36 PM,107,Valid,5,2,3,0
181,15-Mar,4:58:58 PM,113,Valid,5,3,2,0
181,15-Mar,4:58:58 PM,114,Valid,5,3,2,0
181,15-Mar,4:58:58 PM,115,Valid,5,2,3,0
184,15-Mar,5:00:24 PM,116,Valid,5,4,0,1
225,19-Mar,7:14:39 AM,146,Valid,5,1,1,3
225,19-Mar,7:14:39 AM,147,Valid,5,0,0,5
225,19-Mar,7:14:39 AM,148,Valid,5,0,0,5
227,19-Mar,7:17:39 AM,149,Valid,5,0,1,4
229,19-Mar,7:21:13 AM,150,Valid,5,0,1,4
231,19-Mar,7:44:33 AM,151,Valid,5,1,2,2
231,19-Mar,7:44:33 AM,152,Valid,5,0,1,4
233,19-Mar,8:12:20 AM,153,Valid,5,0,1,4
233,19-Mar,8:12:20 AM,154,Valid,5,0,1,4
233,19-Mar,8:12:20 AM,155,Valid,5,0,2,3
234,19-Mar,8:13:22 AM,156,Valid,5,0,2,3
236,19-Mar,8:14:16 AM,157,Valid,5,0,2,3
238,19-Mar,8:14:46 AM,158,Valid,5,0,3,2
240,19-Mar,8:15:28 AM,159,Valid,5,0,1,4
242,19-Mar,8:16:46 AM,160,Valid,5,0,1,4
244,19-Mar,8:55:40 AM,161,Valid,5,0,3,2
244,19-Mar,8:55:40 AM,162,Valid,5,0,2,3
246,19-Mar,8:56:45 AM,163,Valid,5,0,1,4
248,19-Mar,8:58:26 AM,164,Valid,5,0,2,3
250,19-Mar,8:59:49 AM,165,Valid,5,0,1,4
252,19-Mar,9:00:27 AM,166,Valid,5,0,2,3
254,19-Mar,9:01:29 AM,167,Valid,5,0,1,4
256,19-Mar,9:02:25 AM,168,Valid,5,0,2,3
258,19-Mar,9:03:20 AM,169,Valid,5,0,1,4
260,19-Mar,9:04:16 AM,170,Valid,5,1,1,3
262,19-Mar,9:05:42 AM,171,Valid,5,0,1,4
264,19-Mar,9:08:41 AM,172,Valid,5,0,3,2
266,19-Mar,9:11:55 AM,173,Valid,5,0,1,4
268,19-Mar,9:13:35 AM,174,Valid,5,0,3,2
270,19-Mar,9:15:14 AM,175,Valid,5,0,1,4
272,19-Mar,9:16:46 AM,176,Valid,5,0,2,3
274,19-Mar,9:19:48 AM,177,Valid,5,0,2,3
276,19-Mar,9:21:06 AM,178,Valid,5,0,3,2
278,19-Mar,9:23:19 AM,179,Valid,5,0,0,5
280,19-Mar,9:26:33 AM,180,Valid,5,0,3,2
282,19-Mar,9:28:43 AM,181,Valid,5,0,1,4
285,19-Mar,10:00:16 AM,183,Valid,5,1,2,2
285,19-Mar,10:00:16 AM,184,Valid,5,0,3,2
285,19-Mar,10:00:16 AM,185,Valid,5,0,2,3
287,19-Mar,10:00:59 AM,186,Valid,5,0,2,3
