Record#,Date,Time Stamp,BaystationID,WaldoID,CURRENT_PacketID,CURRENT_Validity,CURRENT_Total_Events,CURRENT_In_events,CURRENT_Out_events,CURRENT_Passby_events,CURRENT_Other_events,PRIOR1_PacketID,PRIOR1_Validity,PRIOR1_Total_events,PRIOR1_In_events,PRIOR1_Out_events,PRIOR1_Passby_events,PRIOR1_Other_events,PRIOR2_PacketID,PRIOR2_Validity,PRIOR2_Total_events,PRIOR2_In_events,PIROR2_Out_events,PRIOR2_Passby_events,PRIOR2_Other_events
1,14-Mar,10:00:31 AM,0,0,4,Valid,5,1,1,3,0,3,Valid,5,3,2,0,0,2,Valid,5,2,3,0,0
2,14-Mar,10:05:41 AM,0,0,5,Valid,5,2,0,3,0,4,Valid,5,1,1,3,0,3,Valid,5,3,2,0,0
3,14-Mar,10:05:41 AM,1,0,5,Invalid,5,2,0,35,0,44,Invalid,5,1,1,1,0,35,Invalid,5,11,2,136,2
4,14-Mar,10:08:26 AM,0,0,6,Valid,5,1,1,3,0,5,Valid,5,2,0,3,0,4,Valid,5,1,1,3,0
5,14-Mar,10:09:08 AM,0,1,36,Valid,5,0,5,0,0,35,Valid,5,1,3,1,0,34,Valid,5,2,3,0,0
6,14-Mar,10:09:08 AM,1,1,36,Valid,5,0,5,0,0,35,Valid,5,1,3,1,0,34,Valid,5,2,3,0,0
7,14-Mar,10:09:47 AM,0,0,0,Valid,5,1,3,1,0,0,Invalid,0,0,0,0,0,0,Invalid,0,0,0,0,0
8,14-Mar,10:11:14 AM,0,3,1,Valid,5,0,1,4,0,0,Valid,5,0,0,5,0,0,Invalid,0,0,0,0,0
9,14-Mar,10:11:14 AM,1,3,1,Valid,5,0,1,4,0,0,Valid,5,0,0,5,0,0,Invalid,0,0,0,0,0
10,14-Mar,10:13:23 AM,0,0,0,Valid,5,0,3,2,0,0,Invalid,0,0,0,0,0,0,Invalid,0,0,0,0,0
11,14-Mar,10:15:16 AM,0,0,0,Valid,5,3,2,0,0,0,Invalid,0,0,0,0,0,0,Invalid,0,0,0,0,0
12,14-Mar,10:16:23 AM,0,0,1,Valid,5,2,1,2,0,0,Valid,5,3,2,0,0,0,Invalid,0,0,0,0,0
13,14-Mar,10:18:17 AM,0,0,2,Valid,5,2,1,2,0,1,Valid,5,2,1,2,0,0,Valid,5,3,2,0,0
14,14-Mar,10:19:05 AM,0,3,2,Valid,5,1,1,3,0,1,Valid,5,0,1,4,0,0,Valid,5,0,0,5,0
15,14-Mar,10:20:10 AM,0,0,3,Valid,5,0,1,4,0,2,Valid,5,2,1,2,0,1,Valid,5,2,1,2,0
16,14-Mar,10:27:24 AM,0,0,0,Valid,5,0,2,3,0,0,Invalid,0,0,0,0,0,0,Invalid,0,0,0,0,0
17,14-Mar,10:29:54 AM,1,3,3,Valid,5,0,1,4,0,2,Valid,5,1,1,3,0,1,Valid,5,0,1,4,0
18,14-Mar,10:30:05 AM,0,0,1,Valid,5,2,1,2,0,0,Valid,5,0,2,3,0,0,Invalid,0,0,0,0,0
19,14-Mar,10:30:44 AM,1,3,4,Valid,5,2,3,0,0,3,Valid,5,0,1,4,0,2,Valid,5,1,1,3,0
20,14-Mar,10:30:44 AM,0,3,4,Valid,5,2,3,0,0,3,Valid,5,0,1,4,0,2,Valid,5,1,1,3,0
21,14-Mar,10:31:00 AM,0,0,2,Valid,5,3,1,1,0,1,Valid,5,2,1,2,0,0,Valid,5,0,2,3,0
22,14-Mar,10:31:17 AM,0,3,5,Valid,5,0,5,0,0,4,Valid,5,2,3,0,0,3,Valid,5,0,1,4,0
23,14-Mar,10:31:17 AM,1,3,5,Valid,5,0,5,0,0,4,Valid,5,2,3,0,0,3,Valid,5,0,1,4,0
24,14-Mar,10:31:48 AM,0,0,0,Valid,5,2,0,3,0,0,Invalid,0,0,0,0,0,0,Invalid,0,0,0,0,0
25,14-Mar,10:34:30 AM,0,0,0,Valid,5,1,2,2,0,0,Invalid,0,0,0,0,0,0,Invalid,0,0,0,0,0
26,14-Mar,10:35:27 AM,1,3,6,Valid,5,0,3,2,0,5,Valid,5,0,5,0,0,4,Valid,5,2,3,0,0
27,14-Mar,10:46:18 AM,0,1,40,Valid,5,3,2,0,0,39,Valid,5,2,3,0,0,38,Valid,5,1,4,0,0
28,14-Mar,10:46:18 AM,1,1,40,Valid,5,3,2,0,0,39,Valid,5,2,3,0,0,38,Valid,5,1,4,0,0
29,14-Mar,10:46:38 AM,1,3,7,Valid,5,0,1,4,0,6,Valid,5,0,3,2,0,5,Valid,5,0,5,0,0
