Doorway,Reviewer,Date,Event Time,Ins,Outs,Passby_near,Passby_far,Linger,Multi(IN),Multi(OUT),Multi(Passby),Comments,,,,,,,,,,,,,,
,,3/14,12:20:47 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:21:05 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:21:17 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:21:25 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:21:28 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:44:30 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:49:28 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:56:33 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:56:52 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,1:09:58 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,1:16:23 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,1:17:10 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,1:34:18 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,1:34:29 AM,,,,,1,,,,,,,,,,,,,,,,,,
,,3/14,1:34:42 AM,,,,,,,,,nicole messing with waldo,,,,,,,,,,,,,,
,,3/14,1:34:44 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,1:34:49 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,1:35:03 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,1:35:13 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,1:35:46 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,2:02:38 AM,,1,,,,,,,caught the very end of it,,,,,,,,,,,,,,
,,3/14,2:32:43 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,2:40:31 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,2:55:41 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,2:58:40 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,2:59:20 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:01:12 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:01:57 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:09:55 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:13:35 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:31:44 AM,,,,,1,,,,nicole working at the table in the corner,,,,,,,,,,,,,,
,,3/14,3:34:00 AM,,,,,1,,,,nicole working on waldo,,,,,,,,,,,,,,
,,3/14,3:34:31 AM,,,,,1,,,,working on waldo,,,,,,,,,,,,,,
,,3/14,3:35:01 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,3:35:18 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,3:51:15 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:51:26 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:51:42 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:52:00 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:52:15 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:52:35 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:56:27 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:56:42 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:56:57 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:57:14 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:57:33 AM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,3:57:47 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:58:05 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:58:26 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:58:46 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:59:05 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:59:28 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,3:59:48 AM,,,,,1,,,,nicole working on waldo,,,,,,,,,,,,,,
,,3/14,4:00:00 AM,,,,,,,,,nicole finished working on waldo,,,,,,,,,,,,,,
,,3/14,4:02:46 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,4:03:01 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,4:11:53 AM,,,,,1,,,,working at table in corner,,,,,,,,,,,,,,
,,3/14,4:12:21 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,4:14:05 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,4:14:22 AM,,,,,1,,,,nicole messing with waldo,,,,,,,,,,,,,,
,,3/14,4:14:44 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,4:17:05 AM,,1,,,,,,,door shut,,,,,,,,,,,,,,
,,3/14,6:34:22 AM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,6:34:56 AM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,6:35:17 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,9:12:32 AM,1,,,,,,,,door opened,,,,,,,,,,,,,,
,,3/14,9:12:51 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,9:13:51 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,9:15:38 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,9:15:55 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,9:16:47 AM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,9:16:57 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,9:17:15 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,9:17:30 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,9:17:52 AM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,9:18:12 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,9:20:48 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,9:21:26 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,9:22:15 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,9:23:03 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,9:25:03 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,9:25:12 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,9:25:29 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,9:25:56 AM,,,,,,,,1,,,,,,,,,,,,,,,
,,3/14,9:26:13 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,9:26:48 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,9:26:57 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,9:29:05 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,9:29:11 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,9:29:46 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,9:30:44 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,9:30:56 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,9:31:00 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,9:32:27 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,9:32:38 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,9:32:51 AM,1,,,,,,,,,,,,,,,,,,,,,,
