1,1,144,10:00:38 AM
2,1,144,10:00:38 AM
3,1,144,10:00:38 AM
4,2,147,10:05:35 AM
5,4,149,10:08:23 AM
6,7,156,10:09:51 AM
7,10,161,10:13:23 AM
8,11,165,10:15:15 AM
10,13,171,10:18:13 AM
12,16,186,10:27:23 AM
14,21,193,10:30:57 AM
15,24,197,10:31:44 AM
16,25,202,10:34:30 AM
17,31,209,10:49:10 AM
18,31,209,10:49:10 AM
19,31,209,10:49:10 AM
20,37,214,10:51:43 AM
22,43,218,10:54:47 AM
24,52,222,10:58:36 AM
26,55,227,11:01:45 AM
27,58,230,11:04:42 AM
28,59,234,11:07:05 AM
29,62,236,11:12:05 AM
30,63,237,11:15:40 AM
31,64,240,11:18:08 AM
32,65,241,11:23:42 AM
33,68,246,11:34:03 AM
34,68,246,11:34:03 AM
35,69,248,11:37:27 AM
36,70,250,11:38:22 AM
40,74,254,11:58:52 AM
41,75,256,12:00:03 PM
42,76,261,12:01:26 PM
94,209,466,7:56:17 PM
95,209,466,7:56:17 PM
96,209,466,7:56:17 PM
109,364,561,12:35:15 PM
110,364,561,12:35:15 PM
112,368,573,2:08:52 PM
113,368,573,2:08:52 PM
114,368,573,2:08:52 PM
124,538,620,10:48:28 PM
125,538,620,10:48:28 PM
127,552,629,9:09:50 AM
128,570,639,10:38:45 AM
129,570,639,10:38:45 AM
130,570,639,10:38:45 AM
131,571,668,11:52:34 AM
132,571,668,11:52:34 AM
133,571,668,11:52:34 AM
139,575,680,12:46:52 PM
140,607,686,1:27:05 PM
141,607,686,1:27:05 PM
142,608,689,1:31:26 PM
151,612,722,4:58:35 PM
152,613,724,4:59:28 PM
154,616,726,5:20:33 PM
155,616,726,5:20:33 PM
156,629,739,8:10:29 AM
157,629,739,8:10:29 AM
158,641,754,12:03:01 PM
159,641,754,12:03:01 PM
160,641,754,12:03:01 PM
161,642,757,12:04:06 PM
162,643,768,1:01:37 PM
163,643,768,1:01:37 PM
172,651,775,1:53:40 PM
