Record#,Date,Time Stamp,CURRENT_PacketID,CURRENT_Validity,CURRENT_Total_Events,CURRENT_In_events,CURRENT_Out_events,CURRENT_Passby_events
1,3/14/19,10:00:31 AM,2,Valid,5,2,3,0
1,3/14/19,10:00:31 AM,3,Valid,5,3,2,0
1,3/14/19,10:00:31 AM,4,Valid,5,1,1,3
2,3/14/19,10:05:41 AM,5,Valid,5,2,0,3
4,3/14/19,10:08:26 AM,6,Valid,5,1,1,3
7,3/14/19,10:09:47 AM,0,Valid,5,1,3,1
10,3/14/19,10:13:23 AM,0,Valid,5,0,3,2
11,3/14/19,10:15:16 AM,0,Valid,5,3,2,0
12,3/14/19,10:16:23 AM,1,Valid,5,2,1,2
13,3/14/19,10:18:17 AM,2,Valid,5,2,1,2
15,3/14/19,10:20:10 AM,3,Valid,5,0,1,4
16,3/14/19,10:27:24 AM,0,Valid,5,0,2,3
18,3/14/19,10:30:05 AM,1,Valid,5,2,1,2
21,3/14/19,10:31:00 AM,2,Valid,5,3,1,1
24,3/14/19,10:31:48 AM,0,Valid,5,2,0,3
25,3/14/19,10:34:30 AM,0,Valid,5,1,2,2
31,3/14/19,10:49:11 AM,1,Valid,5,2,1,2
31,3/14/19,10:49:11 AM,2,Valid,5,2,1,2
31,3/14/19,10:49:11 AM,3,Valid,5,2,0,3
37,3/14/19,10:51:44 AM,0,Valid,5,1,1,3
40,3/14/19,10:53:15 AM,1,Valid,5,2,0,3
43,3/14/19,10:54:46 AM,2,Valid,5,0,4,1
46,3/14/19,10:55:46 AM,3,Valid,5,1,0,4
52,3/14/19,10:58:36 AM,4,Valid,5,1,2,2
54,3/14/19,11:00:06 AM,5,Valid,5,1,2,2
55,3/14/19,11:01:53 AM,6,Valid,5,2,2,1
58,3/14/19,11:04:45 AM,7,Valid,5,1,1,3
59,3/14/19,11:07:01 AM,8,Valid,5,1,3,1
62,3/14/19,11:12:06 AM,0,Valid,5,3,2,0
63,3/14/19,11:15:44 AM,1,Valid,5,2,0,3
64,3/14/19,11:18:11 AM,2,Valid,5,1,2,2
65,3/14/19,11:23:44 AM,3,Valid,5,1,2,2
68,3/14/19,11:34:08 AM,4,Valid,5,1,3,1
68,3/14/19,11:34:08 AM,5,Valid,5,0,2,3
69,3/14/19,11:37:20 AM,6,Valid,5,3,0,2
70,3/14/19,11:38:24 AM,7,Valid,5,2,2,1
71,3/14/19,11:44:24 AM,8,Valid,5,3,0,2
72,3/14/19,11:57:48 AM,9,Valid,5,4,0,1
72,3/14/19,11:57:48 AM,10,Valid,5,3,0,2
74,3/14/19,11:59:06 AM,11,Valid,5,1,1,3
75,3/14/19,12:00:14 PM,0,Valid,5,0,2,3
76,3/14/19,12:01:28 PM,1,Valid,5,1,2,2
80,3/14/19,12:03:58 PM,2,Valid,5,1,2,2
81,3/14/19,12:06:42 PM,0,Valid,5,1,0,4
84,3/14/19,12:10:07 PM,0,Valid,5,1,1,3
134,3/14/19,4:30:42 PM,0,Valid,5,2,3,0
135,3/14/19,4:31:29 PM,0,Valid,5,1,4,0
137,3/14/19,4:32:16 PM,0,Valid,5,0,5,0
139,3/14/19,4:33:21 PM,0,Valid,5,0,5,0
140,3/14/19,4:36:29 PM,0,Valid,5,2,3,0
141,3/14/19,4:38:04 PM,1,Valid,5,0,4,1
142,3/14/19,4:39:46 PM,2,Valid,5,2,2,1
147,3/14/19,4:42:09 PM,3,Valid,5,1,4,0
152,3/14/19,4:45:34 PM,4,Valid,5,2,2,1
153,3/14/19,4:49:16 PM,5,Valid,5,0,1,4
154,3/14/19,4:52:23 PM,6,Valid,5,0,2,3
157,3/14/19,5:07:16 PM,0,Valid,5,0,4,1
157,3/14/19,5:07:16 PM,1,Valid,5,2,2,1
158,3/14/19,5:19:47 PM,2,Valid,5,1,2,2
158,3/14/19,5:19:47 PM,3,Valid,5,0,2,3
