Record#,Date,Time Stamp,BaystationID,WaldoID,CURRENT_PacketID,CURRENT_Validity,CURRENT_Total_Events,CURRENT_In_events,CURRENT_Out_events,CURRENT_Passby_events,CURRENT_Other_events,PRIOR1_PacketID,PRIOR1_Validity,PRIOR1_Total_events,PRIOR1_In_events,PRIOR1_Out_events,PRIOR1_Passby_events,PRIOR1_Other_events,PRIOR2_PacketID,PRIOR2_Validity,PRIOR2_Total_events,PRIOR2_In_events,PIROR2_Out_events,PRIOR2_Passby_events,PRIOR2_Other_events
1,14-Mar,10:00:31 AM,0,0,4,Valid,5,1,1,3,0,3,Valid,5,3,2,0,0,2,Valid,5,2,3,0,0
2,14-Mar,10:05:41 AM,0,0,5,Valid,5,2,0,3,0,4,Valid,5,1,1,3,0,3,Valid,5,3,2,0,0
3,14-Mar,10:05:41 AM,1,0,5,Invalid,5,2,0,35,0,44,Invalid,5,1,1,1,0,35,Invalid,5,11,2,136,2
4,14-Mar,10:08:26 AM,0,0,6,Valid,5,1,1,3,0,5,Valid,5,2,0,3,0,4,Valid,5,1,1,3,0
7,14-Mar,10:09:47 AM,0,0,0,Valid,5,1,3,1,0,0,Invalid,0,0,0,0,0,0,Invalid,0,0,0,0,0
10,14-Mar,10:13:23 AM,0,0,0,Valid,5,0,3,2,0,0,Invalid,0,0,0,0,0,0,Invalid,0,0,0,0,0
11,14-Mar,10:15:16 AM,0,0,0,Valid,5,3,2,0,0,0,Invalid,0,0,0,0,0,0,Invalid,0,0,0,0,0
12,14-Mar,10:16:23 AM,0,0,1,Valid,5,2,1,2,0,0,Valid,5,3,2,0,0,0,Invalid,0,0,0,0,0
13,14-Mar,10:18:17 AM,0,0,2,Valid,5,2,1,2,0,1,Valid,5,2,1,2,0,0,Valid,5,3,2,0,0
15,14-Mar,10:20:10 AM,0,0,3,Valid,5,0,1,4,0,2,Valid,5,2,1,2,0,1,Valid,5,2,1,2,0
16,14-Mar,10:27:24 AM,0,0,0,Valid,5,0,2,3,0,0,Invalid,0,0,0,0,0,0,Invalid,0,0,0,0,0
18,14-Mar,10:30:05 AM,0,0,1,Valid,5,2,1,2,0,0,Valid,5,0,2,3,0,0,Invalid,0,0,0,0,0
21,14-Mar,10:31:00 AM,0,0,2,Valid,5,3,1,1,0,1,Valid,5,2,1,2,0,0,Valid,5,0,2,3,0
24,14-Mar,10:31:48 AM,0,0,0,Valid,5,2,0,3,0,0,Invalid,0,0,0,0,0,0,Invalid,0,0,0,0,0
25,14-Mar,10:34:30 AM,0,0,0,Valid,5,1,2,2,0,0,Invalid,0,0,0,0,0,0,Invalid,0,0,0,0,0
31,14-Mar,10:49:11 AM,0,0,3,Valid,5,2,0,3,0,2,Valid,5,2,1,2,0,1,Valid,5,2,1,2,0
37,14-Mar,10:51:44 AM,0,0,0,Valid,5,1,1,3,0,0,Invalid,0,0,0,0,0,0,Invalid,0,0,0,0,0
40,14-Mar,10:53:15 AM,0,0,1,Valid,5,2,0,3,0,0,Valid,5,1,1,3,0,0,Invalid,0,0,0,0,0
43,14-Mar,10:54:46 AM,0,0,2,Valid,5,0,4,1,0,1,Valid,5,2,0,3,0,0,Valid,5,1,1,3,0
46,14-Mar,10:55:46 AM,0,0,3,Valid,5,1,0,4,0,2,Valid,5,0,4,1,0,1,Valid,5,2,0,3,0
52,14-Mar,10:58:36 AM,0,0,4,Valid,5,1,2,2,0,3,Valid,5,1,0,4,0,2,Valid,5,0,4,1,0
54,14-Mar,11:00:06 AM,0,0,5,Valid,5,1,2,2,0,4,Valid,5,1,2,2,0,3,Valid,5,1,0,4,0
55,14-Mar,11:01:53 AM,0,0,6,Valid,5,2,2,1,0,5,Valid,5,1,2,2,0,4,Valid,5,1,2,2,0
58,14-Mar,11:04:45 AM,0,0,7,Valid,5,1,1,3,0,6,Valid,5,2,2,1,0,5,Valid,5,1,2,2,0
59,14-Mar,11:07:01 AM,0,0,8,Valid,5,1,3,1,0,7,Valid,5,1,1,3,0,6,Valid,5,2,2,1,0
62,14-Mar,11:12:06 AM,0,0,0,Valid,5,3,2,0,0,0,Invalid,0,0,0,0,0,0,Invalid,0,0,0,0,0
63,14-Mar,11:15:44 AM,0,0,1,Valid,5,2,0,3,0,0,Valid,5,3,2,0,0,0,Invalid,0,0,0,0,0
64,14-Mar,11:18:11 AM,0,0,2,Valid,5,1,2,2,0,1,Valid,5,2,0,3,0,0,Valid,5,3,2,0,0
65,14-Mar,11:23:44 AM,0,0,3,Valid,5,1,2,2,0,2,Valid,5,1,2,2,0,1,Valid,5,2,0,3,0
