bayIDX,bayRecord,bayDate,bayTime,bayIn,bayOut,bayPassby,gtDate,gtTime,gtIns,gtOuts,gtPbN,gtPbF,gtLinger,gt_ll,gtMultiIn,gtMultiOut,gtMultiPb
1,209,17-Mar,7:56:11 PM,1,4,0,25-Mar,7:56:17 PM,1,1,0,2,0,0,0,0,0
2,209,17-Mar,7:56:11 PM,1,4,0,17-Mar,7:56:17 PM,2,3,0,0,0,0,0,0,0
3,209,17-Mar,7:56:11 PM,2,2,1,17-Mar,7:56:17 PM,3,2,0,0,0,0,0,0,0
16,364,19-Mar,12:35:18 PM,1,2,2,19-Mar,12:35:15 PM,1,2,0,3,0,0,0,0,0
17,364,19-Mar,12:35:18 PM,0,2,3,19-Mar,12:35:15 PM,1,0,0,4,0,0,0,0,0
19,368,19-Mar,2:08:55 PM,3,0,2,19-Mar,2:08:52 PM,1,0,0,1,0,0,0,0,0
20,368,19-Mar,2:08:55 PM,0,3,2,19-Mar,2:08:52 PM,1,0,0,3,1,1,0,0,0
21,368,19-Mar,2:08:55 PM,0,3,2,19-Mar,2:08:52 PM,1,2,0,0,3,2,0,0,0
31,538,19-Mar,10:48:37 PM,1,2,2,19-Mar,10:48:28 PM,2,2,0,1,0,0,0,0,0
32,538,19-Mar,10:48:37 PM,3,2,0,19-Mar,10:48:28 PM,3,2,0,0,0,0,0,0,0
34,552,20-Mar,9:10:00 AM,1,3,1,20-Mar,9:09:50 AM,1,1,0,1,2,1,0,0,0
35,570,20-Mar,10:38:53 AM,0,3,2,20-Mar,10:38:45 AM,0,0,0,0,0,0,0,0,0
36,570,20-Mar,10:38:53 AM,2,0,3,20-Mar,10:38:45 AM,0,0,1,4,0,0,0,0,0
37,570,20-Mar,10:38:53 AM,2,0,3,20-Mar,10:38:45 AM,0,0,2,0,0,0,0,0,3
38,571,20-Mar,11:52:45 AM,0,5,0,20-Mar,11:52:34 AM,1,0,0,2,2,1,0,0,0
39,571,20-Mar,11:52:45 AM,1,3,1,20-Mar,11:52:34 AM,0,2,0,0,3,2,0,0,0
40,571,20-Mar,11:52:45 AM,2,1,2,20-Mar,11:52:34 AM,2,1,2,0,0,0,0,0,0
46,575,20-Mar,12:47:03 PM,1,1,3,20-Mar,12:46:52 PM,1,1,0,3,0,0,0,0,0
47,607,20-Mar,1:27:13 PM,1,0,4,20-Mar,1:27:05 PM,0,0,0,0,0,0,0,0,0
48,607,20-Mar,1:27:13 PM,1,2,2,20-Mar,1:27:05 PM,0,0,0,2,0,0,1,1,1
49,608,20-Mar,1:31:30 PM,1,2,2,20-Mar,1:31:26 PM,0,1,0,2,1,1,0,0,0
58,612,20-Mar,4:58:43 PM,0,1,4,20-Mar,4:58:35 PM,0,1,0,3,1,1,0,0,0
59,613,20-Mar,4:59:32 PM,1,3,1,20-Mar,4:59:28 PM,1,1,0,0,0,0,0,0,0
61,616,20-Mar,5:20:43 PM,0,0,5,20-Mar,5:20:33 PM,0,1,0,4,0,0,0,0,0
62,616,20-Mar,5:20:43 PM,0,2,3,20-Mar,5:20:33 PM,1,1,0,0,0,0,0,0,0
63,629,21-Mar,8:10:38 AM,2,1,2,21-Mar,8:10:29 AM,2,2,0,0,1,1,0,0,0
64,629,21-Mar,8:10:38 AM,2,3,0,21-Mar,8:10:29 AM,2,3,0,0,0,0,0,0,0
65,641,21-Mar,12:03:15 PM,1,1,3,21-Mar,12:03:01 PM,3,2,0,0,0,0,0,0,0
66,641,21-Mar,12:03:15 PM,3,0,2,21-Mar,12:03:01 PM,0,1,0,4,0,0,0,0,0
67,641,21-Mar,12:03:15 PM,1,1,3,21-Mar,12:03:01 PM,0,0,0,5,0,0,0,0,0
68,642,21-Mar,12:04:19 PM,1,1,3,21-Mar,12:04:06 PM,1,0,0,1,1,1,0,0,0
69,643,21-Mar,1:01:38 PM,3,2,0,21-Mar,1:01:37 PM,0,0,2,3,0,0,0,0,0
70,643,21-Mar,1:01:38 PM,3,1,1,21-Mar,1:01:37 PM,0,1,1,3,0,0,0,0,0
79,651,21-Mar,1:53:44 PM,1,1,3,21-Mar,1:53:40 PM,2,1,0,2,1,1,0,0,0
108,672,22-Mar,2:55:09 PM,0,1,4,22-Mar,2:55:02 PM,1,0,1,2,1,1,0,0,0
118,680,22-Mar,4:40:44 PM,1,2,2,22-Mar,4:40:40 PM,1,1,0,0,1,1,2,0,0
119,681,22-Mar,4:42:25 PM,0,0,5,22-Mar,4:42:19 PM,0,1,0,1,1,1,0,0,0
120,682,22-Mar,4:43:11 PM,0,4,1,22-Mar,4:43:11 PM,0,0,0,0,2,2,0,0,0
121,683,22-Mar,4:43:55 PM,0,4,1,22-Mar,4:43:56 PM,0,0,0,0,0,0,1,0,0
122,684,22-Mar,4:45:09 PM,0,2,3,22-Mar,4:45:01 PM,0,1,0,2,0,0,0,0,1
123,685,22-Mar,4:46:28 PM,1,2,2,22-Mar,4:46:42 PM,2,1,1,1,0,0,0,0,0
124,686,22-Mar,4:47:49 PM,0,1,4,22-Mar,4:47:47 PM,0,0,0,0,2,2,0,0,0
129,691,22-Mar,4:54:00 PM,0,3,2,22-Mar,4:53:56 PM,0,2,0,1,2,2,0,0,0
141,703,24-Mar,1:54:17 PM,0,3,2,24-Mar,1:54:06 PM,3,2,0,0,0,0,0,0,0
142,704,24-Mar,1:55:22 PM,2,2,1,24-Mar,1:55:15 PM,1,2,0,0,0,0,0,0,0
