Doorway,Reviewer,Date,Event Time,Ins,Outs,Passby_near,Passby_far,Linger,Multi(IN),Multi(OUT),Multi(Passby),Comments
Doorway W1,Eric ,14-Mar,9:31:32 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,9:31:37 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,9:31:43 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,9:32:32 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,9:35:19 AM,,,,,1,,,,Guy stands under and looks up at waldo
Doorway W1,Eric,14-Mar,9:58:08 AM,,,,,,1,,,
Doorway W1,Eric ,14-Mar,9:58:13 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,9:58:37 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,9:58:44 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,10:04:51 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,10:05:15 AM,,,,1,,,,,
Doorway W1,Eric,14-Mar,10:08:42 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,10:08:47 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,10:09:02 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,10:09:06 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,10:09:18 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,10:10:30 AM,,,,,,,1,,
Doorway W1,Eric,14-Mar,10:11:10 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,10:15:30 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,10:16:26 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,10:38:46 AM,,,,,,,1,,
Doorway W1,Eric,14-Mar,10:38:57 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,10:31:22 AM,,,,,,,1,,
Doorway W1,Eric,14-Mar,10:32:31 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,10:33:04 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,10:34:32 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,10:34:49 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,10:44:02 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,10:44:22 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,10:45:10 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,10:45:22 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,10:46:18 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,10:46:48 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,10:48:00 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,10:48:11 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,10:48:13 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,10:48:43 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,10:49:41 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,10:50:01 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,10:50:02 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,10:50:13 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,10:50:19 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,10:50:40 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,10:50:43 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,10:50:50 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,10:50:55 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,10:52:58 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,10:53:03 AM,1,1,,,,,,,Had one person come in the direction of IN and had one person come in the direction of OUT simulataneously 
Doorway W1,Eric ,14-Mar,10:53:15 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,10:53:22 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,10:54:17 AM,,,,,,1,,,
Doorway W1,Eric,14-Mar,10:54:56 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,10:54:59 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,10:55:03 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,10:55:31 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,10:55:33 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,10:56:11 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,10:56:42 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,10:56:59 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,10:57:22 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,10:57:41 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,10:57:44 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,10:58:28 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,10:58:27 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,10:58:57 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,10:59:59 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,11:00:25 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,11:05:15 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,11:06:58 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,11:07:02 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,11:10:50 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,11:12:02 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,11:12:38 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,11:33:51 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,11:34:25 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,11:42:19 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,11:43:34 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,11:44:56 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,11:45:11 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,11:46:19 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,11:51:56 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,11:52:36 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,11:55:25 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,11:56:15 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,11:57:44 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,11:58:21 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,12:01:29 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:01:35 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,12:02:19 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:02:20 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,12:03:42 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:04:31 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,12:04:35 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,12:07:08 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,12:07:44 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:15:30 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,12:15:34 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:15:41 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,12:15:42 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:15:44 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,12:15:47 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:15:50 PM,,,,,,1,,,
Doorway W1,Eric ,14-Mar,12:15:57 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:16:07 PM,,,,,,1,,,
Doorway W1,Eric ,14-Mar,12:16:26 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,12:17:18 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,12:17:24 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:18:11 PM,,,,,,1,,,
Doorway W1,Eric ,14-Mar,12:21:24 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,12:21:43 PM,1,,,,,,,,
