Record#,Date,Time Stamp,Packet#,Validity,Total,Ins,Outs,Passby
209,17-Mar,7:56:11 PM,36,Valid,5,1,4,0
209,17-Mar,7:56:11 PM,37,Valid,5,1,4,0
209,17-Mar,7:56:11 PM,38,Valid,5,2,2,1
210,17-Mar,8:06:28 PM,39,Valid,5,1,3,1
210,17-Mar,8:06:28 PM,40,Valid,5,0,2,3
217,18-Mar,9:32:28 AM,43,Valid,5,1,1,3
217,18-Mar,9:32:28 AM,44,Valid,5,3,2,0
217,18-Mar,9:32:28 AM,45,Valid,5,1,0,4
218,18-Mar,1:45:28 PM,3,Valid,5,2,0,3
218,18-Mar,1:45:28 PM,4,Valid,5,2,1,2
218,18-Mar,1:45:28 PM,5,Valid,5,1,3,1
219,18-Mar,4:16:51 PM,11,Valid,5,0,2,3
219,18-Mar,4:16:51 PM,12,Valid,5,0,2,3
219,18-Mar,4:16:51 PM,13,Valid,5,0,0,5
220,18-Mar,4:18:35 PM,14,Valid,5,0,0,5
364,19-Mar,12:35:18 PM,0,Valid,5,1,2,2
364,19-Mar,12:35:18 PM,1,Valid,5,0,2,3
365,19-Mar,12:37:55 PM,2,Valid,5,0,2,3
368,19-Mar,2:08:55 PM,3,Valid,5,3,0,2
368,19-Mar,2:08:55 PM,4,Valid,5,0,3,2
368,19-Mar,2:08:55 PM,5,Valid,5,0,3,2
415,19-Mar,4:00:57 PM,9,Valid,5,2,1,2
415,19-Mar,4:00:57 PM,10,Valid,5,1,1,3
415,19-Mar,4:00:57 PM,11,Valid,5,1,2,2
448,19-Mar,6:01:13 PM,16,Valid,5,1,1,3
448,19-Mar,6:01:13 PM,17,Valid,5,0,2,3
448,19-Mar,6:01:13 PM,18,Valid,5,0,1,4
533,19-Mar,10:36:41 PM,20,Valid,5,0,2,3
533,19-Mar,10:36:41 PM,21,Valid,5,3,2,0
533,19-Mar,10:36:41 PM,22,Valid,5,1,2,2
538,19-Mar,10:48:37 PM,0,Valid,5,1,2,2
538,19-Mar,10:48:37 PM,1,Valid,5,3,2,0
543,20-Mar,9:04:51 AM,0,Valid,5,0,2,3
552,20-Mar,9:10:00 AM,1,Valid,5,1,3,1
570,20-Mar,10:38:53 AM,3,Valid,5,0,3,2
570,20-Mar,10:38:53 AM,4,Valid,5,2,0,3
570,20-Mar,10:38:53 AM,5,Valid,5,2,0,3
571,20-Mar,11:52:45 AM,0,Valid,5,0,5,0
571,20-Mar,11:52:45 AM,1,Valid,5,1,3,1
571,20-Mar,11:52:45 AM,2,Valid,5,2,1,2
572,20-Mar,12:27:28 PM,0,Valid,5,1,4,0
572,20-Mar,12:27:28 PM,1,Valid,5,0,3,2
573,20-Mar,12:29:04 PM,2,Valid,5,0,2,3
574,20-Mar,12:42:14 PM,0,Valid,5,1,1,3
574,20-Mar,12:42:14 PM,1,Valid,5,1,2,2
575,20-Mar,12:47:03 PM,2,Valid,5,1,1,3
607,20-Mar,1:27:13 PM,0,Valid,5,1,0,4
607,20-Mar,1:27:13 PM,1,Valid,5,1,2,2
608,20-Mar,1:31:30 PM,2,Valid,5,1,2,2
609,20-Mar,1:59:49 PM,0,Valid,5,0,0,5
609,20-Mar,1:59:49 PM,1,Valid,5,1,1,3
610,20-Mar,3:30:33 PM,2,Valid,5,1,2,2
610,20-Mar,3:30:33 PM,3,Valid,5,1,0,4
610,20-Mar,3:30:33 PM,4,Valid,5,0,1,4
611,20-Mar,4:54:05 PM,8,Valid,5,0,0,5
611,20-Mar,4:54:05 PM,9,Valid,5,0,1,4
611,20-Mar,4:54:05 PM,10,Valid,5,1,1,3
612,20-Mar,4:58:43 PM,11,Valid,5,0,1,4
613,20-Mar,4:59:32 PM,12,Valid,5,1,3,1
614,20-Mar,5:00:59 PM,13,Valid,5,0,1,4
616,20-Mar,5:20:43 PM,14,Valid,5,0,0,5
616,20-Mar,5:20:43 PM,15,Valid,5,0,2,3
629,21-Mar,8:10:38 AM,0,Valid,5,2,1,2
629,21-Mar,8:10:38 AM,1,Valid,5,2,3,0
641,21-Mar,12:03:15 PM,5,Valid,5,1,1,3
641,21-Mar,12:03:15 PM,6,Valid,5,3,0,2
641,21-Mar,12:03:15 PM,7,Valid,5,1,1,3
642,21-Mar,12:04:19 PM,8,Valid,5,1,1,3
643,21-Mar,1:01:38 PM,0,Valid,5,3,2,0
643,21-Mar,1:01:38 PM,1,Valid,5,3,1,1
644,21-Mar,1:03:12 PM,2,Valid,5,2,0,3
645,21-Mar,1:23:14 PM,0,Valid,5,0,0,5
646,21-Mar,1:40:15 PM,1,Valid,5,1,1,3
646,21-Mar,1:40:15 PM,2,Valid,5,1,1,3
647,21-Mar,1:43:08 PM,3,Valid,5,0,2,3
648,21-Mar,1:45:09 PM,4,Valid,5,0,1,4
649,21-Mar,1:48:45 PM,5,Valid,5,0,1,4
