12/8/22 6:52:00,GT,,Waldo,EnOcean,if match,if not match,if match,if not match,,,,,ins ,in  correct,in incorrect,,outs,out correct,out incorrect
12/9/22 6:52:00,in,,in,hit,IN,,,,,hit,,,339,337,40,,309,236,110
12/9/22 6:53:51,out,,pbout,miss,,,,nope,,miss,,,99%,,,,76.4%,,
12/9/22 6:56:03,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/9/22 7:09:04,out/in,out just enough to toss trash then back in,in,hit,,,,,,hit,,,,,,,,,
12/9/22 7:43:57,out,,pbout,hit,,,,nope,,hit,,,EnOcean Catch/Miss,,,,,,
12/9/22 7:45:42,in,,in,miss,IN,,,,,miss,,,miss,279,34%,,,,
12/9/22 7:46:30,in,,in,hit,IN,,,,,hit,,,hit,529,65%,,,,
12/9/22 7:54:56,out,,pbout,hit,,,,nope,,hit,,,,,,,,,
12/9/22 8:06:28,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/9/22 8:10:26,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/9/22 8:27:21,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/9/22 8:32:44,out,,pbout,hit,,,,nope,,hit,,,,,,,,,
12/9/22 8:38:12,out,jacob,out,hit,,,OUT,,,hit,,,,,,,,,
12/9/22 8:38:59,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/9/22 8:39:43,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/9/22 8:40:29,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/9/22 8:42:55,no_event,maybe a jacket swing? Off camera,,hit,,,,,,hit,,,,,,,,,
12/9/22 8:42:58,no_event,maybe a jacket swing? Off camera,,miss,,,,,,miss,,,,,,,,,
12/9/22 8:45:25,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/9/22 8:48:31,out,,pbout,hit,,,,nope,,hit,,,,,,,,,
12/9/22 8:56:35,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/9/22 8:57:32,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/9/22 8:58:45,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/9/22 9:01:26,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/9/22 9:03:14,out,,pbout,miss,,,,nope,,miss,,,,,,,,,
12/9/22 9:05:38,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/9/22 9:06:14,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/9/22 9:19:12,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/9/22 9:33:12,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/9/22 9:33:52,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/9/22 9:36:18,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/9/22 9:37:21,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/9/22 9:43:26,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/9/22 9:45:37,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/9/22 9:48:29,in,"slowly, messing with bookbag",in,hit,IN,,,,,hit,,,,,,,,,
12/9/22 9:52:28,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/9/22 9:53:16,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/9/22 10:03:49,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/9/22 10:35:13,out/in,"dropping off trash then back in, then back again",in,hit,,,,,,hit,,,,,,,,,
12/9/22 10:43:59,out/in/out/in,dropping off trash then back in,pbin,hit,,,,,,hit,,,,,,,,,
12/9/22 10:44:52,pbout/linger/in,"linger on pbout, then trash, then finally in",in/in,miss,,,,,,miss,,,,,,,,,
12/9/22 10:49:43,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/9/22 10:51:09,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/9/22 10:51:54,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/9/22 10:56:53,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/9/22 11:05:46,out,"two people, both traveling out in close succession",out,hit,,,OUT,,,hit,,,,,,,,,
12/9/22 11:09:53,out,,pbout,hit,,,,nope,,hit,,,,,,,,,
12/9/22 11:18:35,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/9/22 11:22:46,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/9/22 11:23:05,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/9/22 11:49:57,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/9/22 11:59:13,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/9/22 12:10:24,out/pbout/in,messing with the trashcan for a good 30 seconds,out/pbout/pbout/in,hit,,,,,,hit,,,,,,,,,
12/9/22 12:17:26,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/9/22 12:24:53,out,,in,hit,,,,nope,,hit,,,,,,,,,
12/9/22 12:29:56,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/9/22 12:30:00,pbout,"part of prior out, might not be caught",,miss,,,,,,miss,,,,,,,,,
12/9/22 12:30:41,in,"slowly, messing with recycling",in,miss,IN,,,,,miss,,,,,,,,,
12/9/22 12:30:46,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/9/22 12:31:45,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/9/22 12:32:00,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/9/22 12:32:48,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/9/22 12:33:47,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/9/22 12:44:19,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/9/22 12:45:14,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/9/22 12:49:14,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/9/22 12:50:26,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/9/22 12:52:08,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/9/22 12:58:03,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/9/22 13:09:52,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/9/22 13:24:07,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/9/22 13:27:19,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/9/22 13:29:25,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/9/22 13:46:51,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/9/22 13:49:45,out/pbout,"out, slowly messing with the trash then continuing out",pbout,hit,,,,,,hit,,,,,,,,,
12/9/22 13:54:52,pbout/in/pbin,"janitor mopping out side of door, walking in, then mopping inside of door for a good 15 seconds",pbout/pbout,hit,,,,,,hit,,,,,,,,,
12/9/22 13:55:21,out/pbout,,pbout,miss,,,,,,miss,,,,,,,,,
12/9/22 13:55:25,pbout/no_event,"mopping a bit out of view, probably wont catch waldo",pbout,miss,,,,,,miss,,,,,,,,,
12/9/22 14:05:49,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/9/22 14:38:15,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/9/22 21:37:17,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/9/22 21:46:08,in,"trash, then in",in,hit,IN,,,,,hit,,,,,,,,,
12/10/22 17:52:42,in,normal in,in,hit,IN,,,,,hit,,,,,,,,,
12/11/22 14:13:22,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/11/22 16:34:26,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/11/22 18:49:24,in,,in,hit,IN,,,,,hit,,,,,,,,,
