LabelType,Recover#,TimeDiff,BSidx,BSrecord#,DateTime,PktID,Validity,Total,Ins,Outs,Passbys,gtIdx,DateTime,gtIns,gtOuts,gtPb_near,gt_Pb_far,gtlinger,gtMultiIns,gtMultiOuts,gtMultiPbs
Null,0,,,,,,,,,,,1,1900-03-14 09:30:56,0,0,0,0,0,1,0,0
Null,0,,,,,,,,,,,2,1900-03-14 09:31:08,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,3,1900-03-14 09:31:41,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,4,1900-03-14 09:34:36,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,5,1900-03-14 09:35:33,0,0,0,0,0,1,0,0
Null,0,,,,,,,,,,,6,1900-03-14 09:37:18,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,7,1900-03-14 09:40:40,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,8,1900-03-14 10:10:24,0,0,0,0,0,0,0,1
FPpkt,2,,0,9,1900-03-14 10:11:14,0,Valid,5,0,0,5,,,,,,,,,,
Null,0,,,,,,,,,,,9,1900-03-14 10:13:27,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,10,1900-03-14 10:15:30,1,0,0,0,0,0,0,0
FPpkt,1,,2,14,1900-03-14 10:19:05,2,Valid,5,1,1,3,,,,,,,,,,
Null,0,,,,,,,,,,,11,1900-03-14 10:27:08,0,0,0,1,0,0,0,0
FPpkt,1,,3,17,1900-03-14 10:29:54,3,Valid,5,0,1,4,,,,,,,,,,
Null,0,,,,,,,,,,,12,1900-03-14 10:30:08,0,0,0,0,0,0,1,0
Null,0,,,,,,,,,,,13,1900-03-14 10:30:23,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,14,1900-03-14 10:30:30,0,0,0,0,0,0,1,0
Null,0,,,,,,,,,,,15,1900-03-14 10:30:36,0,0,0,0,0,0,1,0
CONFIRMED,1,1.0,4,20,1900-03-14 10:30:44,4,Valid,5,2,3,0,16,1900-03-14 10:30:43,0,0,0,0,0,0,1,0
Null,0,,,,,,,,,,,17,1900-03-14 10:30:51,0,0,0,0,0,0,1,0
Null,0,,,,,,,,,,,18,1900-03-14 10:31:08,0,0,0,0,0,0,1,0
Null,0,,,,,,,,,,,19,1900-03-14 10:31:13,0,0,0,0,0,0,1,0
CONFIRMED,1,-1.0,5,23,1900-03-14 10:31:17,5,Valid,5,0,5,0,20,1900-03-14 10:31:18,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,21,1900-03-14 10:31:26,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,22,1900-03-14 10:31:35,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,23,1900-03-14 10:31:40,0,1,0,0,0,0,0,0
FPpkt,1,,6,26,1900-03-14 10:35:27,6,Valid,5,0,3,2,,,,,,,,,,
Null,0,,,,,,,,,,,24,1900-03-14 10:36:10,1,1,0,0,0,0,0,0
FPpkt,1,,7,29,1900-03-14 10:46:38,7,Valid,5,0,1,4,,,,,,,,,,
Null,0,,,,,,,,,,,25,1900-03-14 10:46:49,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,26,1900-03-14 10:47:34,0,0,0,1,0,0,0,0
