LabelType,TimeDiff,BSidx,BSrecord#,Date,Time,PktID,Validity,Total,Ins,Outs,Passbys,gtIdx,Date,Time,gtIns,gtOuts,gtPb_near,gt_Pb_far,gtlinger,gtMultiIns,gtMultiOuts,gtMultiPbs
Null,,,,,,,,,,,,1,13-Mar,9:55:44 PM,0,0,1,0,0,0,0,0
Null,,,,,,,,,,,,2,13-Mar,10:16:13 PM,0,0,1,0,0,0,0,0
Null,,,,,,,,,,,,3,13-Mar,10:50:44 PM,0,0,1,0,0,0,0,0
Null,,,,,,,,,,,,4,13-Mar,10:52:22 PM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,5,13-Mar,10:56:08 PM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,6,13-Mar,11:10:54 PM,0,0,0,0,0,0,0,0
Null,,,,,,,,,,,,7,13-Mar,11:43:51 PM,0,0,0,0,0,0,0,0
Null,,,,,,,,,,,,8,13-Mar,11:46:17 PM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,9,13-Mar,11:47:30 PM,0,0,0,0,0,0,0,0
Null,,,,,,,,,,,,10,13-Mar,11:49:43 PM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,11,13-Mar,11:50:40 PM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,12,13-Mar,11:51:32 PM,0,0,0,0,1,0,0,0
Null,,,,,,,,,,,,13,13-Mar,11:51:44 PM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,14,13-Mar,11:52:58 PM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,15,13-Mar,11:53:31 PM,0,0,1,0,0,0,0,0
Null,,,,,,,,,,,,16,13-Mar,11:53:56 PM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,17,13-Mar,11:54:07 PM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,18,13-Mar,11:54:22 PM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,19,13-Mar,11:54:38 PM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,20,13-Mar,11:55:27 PM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,21,13-Mar,11:55:32 PM,0,0,0,1,0,0,0,0
