Record#,Date,Time Stamp,Packet#,Validity,Total,Ins,Outs,Passby
6,14-Mar,10:09:08 AM,34,Valid,5,2,3,0
6,14-Mar,10:09:08 AM,35,Valid,5,1,3,1
6,14-Mar,10:09:08 AM,36,Valid,5,0,5,0
28,14-Mar,10:46:18 AM,38,Valid,5,1,4,0
28,14-Mar,10:46:18 AM,39,Valid,5,2,3,0
28,14-Mar,10:46:18 AM,40,Valid,5,3,2,0
30,14-Mar,10:48:45 AM,41,Valid,5,2,2,1
35,14-Mar,10:50:42 AM,42,Valid,5,5,0,0
42,14-Mar,10:53:17 AM,43,Valid,5,3,2,0
45,14-Mar,10:55:09 AM,44,Valid,5,1,3,1
48,14-Mar,10:57:01 AM,45,Valid,5,2,2,1
51,14-Mar,10:58:29 AM,46,Valid,5,3,1,1
57,14-Mar,11:04:38 AM,47,Valid,5,4,1,0
73,14-Mar,11:58:22 AM,50,Valid,5,2,3,0
73,14-Mar,11:58:22 AM,51,Valid,5,3,2,0
73,14-Mar,11:58:22 AM,52,Valid,5,2,3,0
79,14-Mar,12:03:41 PM,53,Valid,5,1,4,0
83,14-Mar,12:07:09 PM,54,Valid,5,3,2,0
88,14-Mar,12:17:20 PM,55,Valid,5,1,4,0
88,14-Mar,12:17:20 PM,56,Valid,5,2,3,0
91,14-Mar,12:23:01 PM,57,Valid,5,2,3,0
92,14-Mar,12:26:33 PM,58,Valid,5,2,3,0
94,14-Mar,12:29:51 PM,59,Valid,5,2,3,0
96,14-Mar,1:46:30 PM,63,Valid,5,2,3,0
96,14-Mar,1:46:30 PM,64,Valid,5,2,3,0
96,14-Mar,1:46:30 PM,65,Valid,5,2,2,1
103,14-Mar,2:16:33 PM,66,Valid,5,3,1,1
103,14-Mar,2:16:33 PM,67,Valid,5,3,2,0
103,14-Mar,2:16:33 PM,68,Valid,5,3,2,0
108,14-Mar,3:17:11 PM,70,Valid,5,3,1,1
108,14-Mar,3:17:11 PM,71,Valid,5,3,2,0
108,14-Mar,3:17:11 PM,72,Valid,5,0,4,1
112,14-Mar,3:18:53 PM,73,Valid,5,1,3,1
116,14-Mar,3:21:58 PM,74,Valid,5,3,1,1
124,14-Mar,4:03:48 PM,75,Valid,5,2,3,0
124,14-Mar,4:03:48 PM,76,Valid,5,3,1,1
124,14-Mar,4:03:48 PM,77,Valid,5,2,3,0
126,14-Mar,4:04:48 PM,78,Valid,5,3,2,0
128,14-Mar,4:18:27 PM,79,Valid,5,1,4,0
128,14-Mar,4:18:27 PM,80,Valid,5,3,2,0
129,14-Mar,4:19:24 PM,81,Valid,5,3,2,0
131,14-Mar,4:20:32 PM,82,Valid,5,2,3,0
144,14-Mar,4:41:36 PM,83,Valid,5,2,3,0
144,14-Mar,4:41:36 PM,84,Valid,5,3,2,0
151,14-Mar,4:43:48 PM,85,Valid,5,3,2,0
156,14-Mar,5:05:59 PM,86,Valid,5,2,3,0
156,14-Mar,5:05:59 PM,87,Valid,5,2,3,0
711,24-Mar,2:07:27 PM,0,Valid,5,1,2,2
714,24-Mar,2:09:59 PM,1,Valid,5,3,2,0
810,24-Mar,6:57:45 PM,6,Valid,5,3,2,0
810,24-Mar,6:57:45 PM,7,Valid,5,4,0,1
816,24-Mar,7:58:58 PM,8,Valid,5,4,1,0
816,24-Mar,7:58:58 PM,9,Valid,5,1,3,1
816,24-Mar,7:58:58 PM,10,Valid,5,0,3,2
821,25-Mar,8:48:13 AM,12,Valid,5,2,3,0
821,25-Mar,8:48:13 AM,13,Valid,5,3,1,1
821,25-Mar,8:48:13 AM,14,Valid,5,2,3,0
823,25-Mar,9:51:22 AM,15,Valid,5,3,2,0
823,25-Mar,9:51:22 AM,16,Valid,5,2,2,1
823,25-Mar,9:51:22 AM,17,Valid,5,2,2,1
827,25-Mar,9:53:18 AM,18,Valid,5,4,0,1
831,25-Mar,9:54:06 AM,19,Valid,5,2,1,2
833,25-Mar,9:56:57 AM,20,Valid,5,3,2,0
837,25-Mar,9:59:18 AM,21,Valid,5,3,2,0
844,25-Mar,10:03:29 AM,22,Valid,5,4,1,0
847,25-Mar,10:09:36 AM,23,Valid,5,4,1,0
862,25-Mar,10:56:55 AM,26,Valid,5,2,3,0
862,25-Mar,10:56:55 AM,27,Valid,5,2,3,0
862,25-Mar,10:56:55 AM,28,Valid,5,0,4,1
866,25-Mar,11:02:14 AM,29,Valid,5,0,5,0
868,25-Mar,11:04:57 AM,30,Valid,5,1,4,0
873,25-Mar,11:06:48 AM,31,Valid,5,3,2,0
878,25-Mar,11:18:16 AM,32,Valid,5,4,0,1
878,25-Mar,11:18:16 AM,33,Valid,5,2,3,0
897,25-Mar,11:59:48 AM,34,Valid,5,1,3,1
897,25-Mar,11:59:48 AM,35,Valid,5,2,3,0
897,25-Mar,11:59:48 AM,36,Valid,5,3,2,0
901,25-Mar,12:05:36 PM,37,Valid,5,1,3,1
911,25-Mar,1:03:09 PM,39,Valid,5,2,3,0
911,25-Mar,1:03:09 PM,40,Valid,5,2,3,0
911,25-Mar,1:03:09 PM,41,Valid,5,3,2,0
915,25-Mar,1:09:41 PM,42,Valid,5,2,2,1
920,25-Mar,3:18:27 PM,49,Valid,5,1,4,0
920,25-Mar,3:18:27 PM,50,Valid,5,3,2,0
920,25-Mar,3:18:27 PM,51,Valid,5,1,3,1
922,25-Mar,3:54:16 PM,52,Valid,5,2,3,0
922,25-Mar,3:54:16 PM,53,Valid,5,3,2,0
922,25-Mar,3:54:16 PM,54,Valid,5,2,3,0
927,25-Mar,4:29:51 PM,56,Valid,5,1,4,0
927,25-Mar,4:29:51 PM,57,Valid,5,3,2,0
927,25-Mar,4:29:51 PM,58,Valid,5,4,1,0
983,26-Mar,9:34:53 AM,67,Valid,5,3,2,0
983,26-Mar,9:34:53 AM,68,Valid,5,4,1,0
983,26-Mar,9:34:53 AM,69,Valid,5,4,1,0
987,26-Mar,10:20:02 AM,70,Valid,5,2,3,0
987,26-Mar,10:20:02 AM,71,Valid,5,3,1,1
989,26-Mar,10:21:06 AM,72,Valid,5,1,1,3
