PktRec#,bsins,bsouts,bspbs,#Plausibles,#EventWindow,Extras,Misses,gtIns,gtOuts,gtPbnear,gtPbfar,gtlinger,gtll,gtmultiin,gtmultiout,gtmultipb
9,0,0,5,8,8,2,0,5,0,0,0,0,0,2,0,1
14,1,1,3,2,2,3,0,1,1,0,0,0,0,0,0,0
17,0,1,4,1,1,4,0,0,0,0,1,0,0,0,0,0
20,2,3,0,5,5,0,0,0,1,0,0,0,0,0,4,0
23,0,5,0,4,4,1,0,0,1,0,0,0,0,0,3,0
26,0,3,2,3,3,2,0,0,3,0,0,0,0,0,0,0
29,0,1,4,1,1,4,0,1,1,0,0,0,0,0,0,0
33,3,1,1,5,5,0,0,2,1,0,1,0,0,1,0,0
36,4,0,1,5,5,0,0,4,0,0,0,0,0,1,0,0
39,3,0,2,4,4,1,0,4,0,0,0,0,0,0,0,0
44,3,1,1,3,3,2,0,1,1,0,0,0,0,1,0,0
47,2,0,3,2,2,3,0,1,1,0,0,0,0,0,0,0
50,2,1,2,2,2,3,0,1,1,0,0,0,0,0,0,0
53,3,1,1,5,5,0,0,3,0,1,1,1,1,0,0,0
61,1,0,4,1,1,4,0,1,0,0,0,0,0,0,0,0
67,0,3,2,1,1,4,0,1,0,0,0,0,0,0,0,0
86,1,3,1,10,37,0,27,0,3,1,1,27,27,0,5,0
89,1,2,2,4,4,1,0,0,3,0,0,0,0,0,1,0
97,0,0,5,3,3,12,0,0,0,1,0,1,0,0,0,1
98,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
99,1,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0
101,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
106,2,1,2,8,8,7,0,4,2,0,1,0,0,1,0,0
110,1,0,4,4,4,1,0,2,0,0,1,0,0,0,0,1
114,3,1,1,5,5,0,0,3,0,1,1,0,0,0,0,0
118,2,0,3,5,7,0,2,4,1,0,2,0,0,0,0,0
120,5,0,0,5,5,0,0,3,1,1,0,0,0,0,0,0
122,0,3,2,4,4,1,0,1,1,0,1,2,1,0,0,0
133,2,2,1,15,20,0,5,0,6,0,2,8,4,0,4,0
146,2,1,2,1,1,9,0,0,0,0,0,1,0,0,0,0
149,2,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0
524,0,0,5,12,12,3,0,5,6,0,0,1,0,0,0,0
528,0,3,2,1,1,4,0,0,0,0,0,1,0,0,0,0
535,3,2,0,8,8,2,0,4,4,0,0,0,0,0,0,0
628,4,1,0,5,16,0,11,7,6,0,1,2,2,0,0,0
631,2,3,0,5,6,0,1,3,3,0,0,0,0,0,0,0
633,3,2,0,5,5,0,0,3,2,0,0,0,0,0,0,0
638,0,2,3,9,9,1,0,2,3,1,0,3,3,0,0,0
1179,1,1,3,6,6,4,0,2,2,0,1,1,1,0,0,0
1181,1,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0
