bayIDX,bayRecord,bayDate,bayTime,bayIn,bayOut,bayPassby,gtDate,gtTime,gtIns,gtOuts,gtPbN,gtPbF,gtLinger,gt_ll,gtMultiIn,gtMultiOut,gtMultiPb
4,17,14-Mar,10:29:54 AM,0,1,4,14-Mar,10:30:08 AM,1,1,0,1,0,0,0,1,1
5,20,14-Mar,10:30:44 AM,2,3,0,14-Mar,10:30:43 AM,0,1,0,0,0,0,0,3,0
6,23,14-Mar,10:31:17 AM,0,5,0,14-Mar,10:31:13 AM,0,0,0,0,0,0,0,3,0
8,29,14-Mar,10:46:38 AM,0,1,4,14-Mar,10:46:49 AM,2,4,0,0,0,0,0,0,0
9,33,14-Mar,10:50:10 AM,3,1,1,14-Mar,10:50:08 AM,1,1,0,1,0,0,1,0,0
10,36,14-Mar,10:51:03 AM,4,0,1,14-Mar,10:50:59 AM,4,0,0,0,0,0,1,0,0
11,39,14-Mar,10:53:04 AM,3,0,2,14-Mar,10:52:59 AM,3,0,0,0,0,0,0,0,0
12,44,14-Mar,10:54:54 AM,3,1,1,14-Mar,10:54:51 AM,2,1,0,0,0,0,1,0,0
13,47,14-Mar,10:56:11 AM,2,0,3,14-Mar,10:56:07 AM,1,1,0,0,0,0,0,0,0
14,50,14-Mar,10:57:51 AM,2,1,2,14-Mar,10:57:47 AM,1,1,0,0,0,0,0,0,0
15,53,14-Mar,11:00:04 AM,3,1,1,14-Mar,11:00:02 AM,3,0,1,1,1,1,0,0,0
17,67,14-Mar,11:23:46 AM,0,3,2,14-Mar,11:23:46 AM,2,0,0,0,0,0,0,0,0
18,86,14-Mar,12:16:25 PM,0,5,0,14-Mar,12:16:23 PM,0,2,1,0,1,1,0,1,0
19,86,14-Mar,12:16:25 PM,1,3,1,14-Mar,12:16:23 PM,0,1,0,0,0,0,0,4,0
28,106,14-Mar,3:16:57 PM,0,0,5,14-Mar,3:16:48 PM,0,3,0,0,0,0,0,1,0
29,106,14-Mar,3:16:57 PM,4,0,1,14-Mar,3:16:48 PM,0,1,1,0,1,0,1,0,1
30,106,14-Mar,3:16:57 PM,2,1,2,14-Mar,3:16:48 PM,4,1,0,0,0,0,0,0,0
31,110,14-Mar,3:18:46 PM,1,0,4,14-Mar,3:18:43 PM,2,0,0,2,0,0,0,0,1
32,114,14-Mar,3:20:52 PM,3,1,1,14-Mar,3:20:50 PM,3,0,1,1,0,0,0,0,0
33,118,14-Mar,3:25:47 PM,2,0,3,14-Mar,3:25:44 PM,3,0,0,2,0,0,0,0,0
34,120,14-Mar,3:34:31 PM,5,0,0,14-Mar,3:34:28 PM,3,1,1,0,0,0,0,0,0
35,122,14-Mar,3:37:42 PM,0,3,2,14-Mar,3:37:41 PM,1,1,0,1,2,1,0,0,0
36,133,14-Mar,4:21:43 PM,1,3,1,14-Mar,4:21:42 PM,0,2,0,1,1,1,0,1,0
37,133,14-Mar,4:21:43 PM,2,3,0,14-Mar,4:21:42 PM,0,3,0,1,0,0,0,1,0
38,133,14-Mar,4:21:43 PM,2,2,1,14-Mar,4:21:42 PM,0,1,0,0,2,2,0,2,0
49,535,19-Mar,10:39:56 PM,2,2,1,19-Mar,10:39:48 PM,2,2,0,0,1,0,0,0,0
50,535,19-Mar,10:39:56 PM,3,2,0,19-Mar,10:39:48 PM,3,2,0,0,0,0,0,0,0
51,628,21-Mar,8:04:23 AM,4,1,0,21-Mar,8:04:21 AM,3,2,0,0,0,0,0,0,0
52,631,21-Mar,8:14:09 AM,2,3,0,21-Mar,8:14:09 AM,3,2,0,0,0,0,0,0,0
53,633,21-Mar,8:16:36 AM,3,2,0,21-Mar,8:16:35 AM,3,2,0,0,0,0,0,0,0
