bayIDX,bayRecord,bayDate,bayTime,bayIn,bayOut,bayPassby,gtDate,gtTime,gtIns,gtOuts,gtPbN,gtPbF,gtLinger,gt_ll,gtMultiIn,gtMultiOut,gtMultiPb
0,6,1900-03-14,10:09:08,2,3,0,1900-03-14,10:09:06,1,3,0,0,0,0,1,0,0
1,6,1900-03-14,10:09:08,1,3,1,1900-03-14,10:09:06,0,4,0,1,0,0,0,0,0
2,6,1900-03-14,10:09:08,0,5,0,1900-03-14,10:09:06,0,0,0,0,0,0,0,0,0
3,28,1900-03-14,10:46:18,1,4,0,1900-03-14,10:46:18,2,2,0,0,0,0,0,1,0
4,28,1900-03-14,10:46:18,2,3,0,1900-03-14,10:46:18,3,2,0,0,0,0,0,0,0
5,28,1900-03-14,10:46:18,3,2,0,1900-03-14,10:46:18,0,0,0,0,0,0,0,0,0
6,30,1900-03-14,10:48:45,2,2,1,1900-03-14,10:48:43,3,2,0,0,0,0,0,0,0
7,35,1900-03-14,10:50:42,5,0,0,1900-03-14,10:50:43,5,0,0,0,0,0,0,0,0
8,42,1900-03-14,10:53:17,3,2,0,1900-03-14,10:53:15,4,2,0,0,0,0,0,0,0
9,45,1900-03-14,10:55:09,1,3,1,1900-03-14,10:55:03,2,2,0,0,0,0,1,0,0
10,48,1900-03-14,10:57:01,2,2,1,1900-03-14,10:56:59,2,3,0,0,0,0,0,0,0
11,51,1900-03-14,10:58:29,3,1,1,1900-03-14,10:58:27,4,1,0,0,0,0,0,0,0
12,57,1900-03-14,11:04:38,4,1,0,1900-03-14,11:05:15,3,1,0,0,0,0,0,0,0
13,73,1900-03-14,11:58:22,2,3,0,1900-03-14,11:58:21,3,2,0,0,0,0,0,0,0
14,73,1900-03-14,11:58:22,3,2,0,1900-03-14,11:58:21,3,2,0,0,0,0,0,0,0
15,73,1900-03-14,11:58:22,2,3,0,1900-03-14,11:58:21,0,0,0,0,0,0,0,0,0
16,79,1900-03-14,12:03:41,1,4,0,1900-03-14,12:03:42,0,5,0,0,0,0,0,0,0
17,83,1900-03-14,12:07:09,3,2,0,1900-03-14,12:07:08,3,0,0,0,0,0,0,0,0
18,88,1900-03-14,12:17:20,1,4,0,1900-03-14,12:17:18,1,4,0,0,0,0,0,0,0
19,88,1900-03-14,12:17:20,2,3,0,1900-03-14,12:17:18,2,1,0,0,0,0,2,0,0
20,91,1900-03-14,12:23:01,2,3,0,1900-03-14,12:23:27,1,3,0,0,0,0,1,0,0
21,92,1900-03-14,12:26:33,2,3,0,1900-03-14,12:26:31,2,1,0,2,0,0,0,0,0
22,94,1900-03-14,12:29:51,2,3,0,1900-03-14,12:29:50,2,2,0,0,0,0,0,0,0
23,96,1900-03-14,13:46:30,2,3,0,1900-03-14,13:46:25,2,2,0,0,0,0,1,0,0
24,96,1900-03-14,13:46:30,2,3,0,1900-03-14,13:46:25,3,1,0,0,0,0,1,0,0
25,96,1900-03-14,13:46:30,2,2,1,1900-03-14,13:46:25,0,0,0,0,0,0,0,0,0
26,103,1900-03-14,14:16:33,3,1,1,1900-03-14,14:16:32,2,1,0,0,0,0,3,1,0
27,103,1900-03-14,14:16:33,3,2,0,1900-03-14,14:16:32,2,3,0,0,0,0,0,0,0
28,103,1900-03-14,14:16:33,3,2,0,1900-03-14,14:16:32,0,0,0,0,0,0,0,0,0
29,108,1900-03-14,15:17:11,3,1,1,1900-03-14,15:17:11,2,3,0,0,0,0,0,0,0
30,108,1900-03-14,15:17:11,3,2,0,1900-03-14,15:17:11,3,2,0,0,0,0,0,0,0
31,108,1900-03-14,15:17:11,0,4,1,1900-03-14,15:17:11,0,0,0,0,0,0,0,0,0
32,112,1900-03-14,15:18:53,1,3,1,1900-03-14,15:18:53,1,3,0,0,1,0,0,0,0
33,116,1900-03-14,15:21:58,3,1,1,1900-03-14,15:21:58,3,1,0,0,0,0,1,0,0
34,124,1900-03-14,16:03:48,2,3,0,1900-03-14,16:03:48,3,1,0,0,1,0,0,0,0
35,124,1900-03-14,16:03:48,3,1,1,1900-03-14,16:03:48,4,1,0,0,0,0,0,0,0
36,124,1900-03-14,16:03:48,2,3,0,1900-03-14,16:03:48,0,0,0,0,0,0,0,0,0
37,126,1900-03-14,16:04:48,3,2,0,1900-03-14,16:04:48,3,3,0,0,0,0,0,0,0
38,128,1900-03-14,16:18:27,1,4,0,1900-03-14,16:18:27,1,4,0,0,0,0,0,0,0
39,128,1900-03-14,16:18:27,3,2,0,1900-03-14,16:18:27,3,2,0,0,0,0,0,0,0
40,129,1900-03-14,16:19:24,3,2,0,1900-03-14,16:19:23,3,2,0,0,0,0,0,0,0
41,131,1900-03-14,16:20:32,2,3,0,1900-03-14,16:20:32,2,3,0,0,0,0,0,0,0
42,144,1900-03-14,16:41:36,2,3,0,1900-03-14,16:41:36,2,3,0,0,0,0,0,0,0
43,144,1900-03-14,16:41:36,3,2,0,1900-03-14,16:41:36,3,2,0,0,0,0,0,0,0
44,151,1900-03-14,16:43:48,3,2,0,1900-03-14,16:43:48,2,3,0,0,0,0,0,0,0
45,156,1900-03-14,17:05:59,2,3,0,1900-03-14,17:05:58,1,0,0,0,0,0,0,0,0
46,156,1900-03-14,17:05:59,2,3,0,1900-03-14,17:05:58,2,3,0,0,0,0,0,0,0
47,711,1900-03-24,14:07:27,1,2,2,1900-03-14,14:07:21,1,2,0,0,0,0,0,0,0
48,714,1900-03-24,14:09:59,3,2,0,1900-03-14,14:07:38,1,0,0,0,0,0,0,0,0
49,810,1900-03-24,18:57:45,3,2,0,1900-03-24,18:57:39,1,3,0,0,0,0,2,0,0
50,810,1900-03-24,18:57:45,4,0,1,1900-03-24,18:57:39,3,0,0,0,0,0,2,0,0
