LabelType,Recover#,TimeDiff,BSidx,BSrecord#,DateTime,PktID,Validity,Total,Ins,Outs,Passbys,gtIdx,DateTime,gtIns,gtOuts,gtPb_near,gt_Pb_far,gtlinger,gtMultiIns,gtMultiOuts,gtMultiPbs
Null,0,,,,,,,,,,,1,1900-03-14 09:31:37,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,2,1900-03-14 09:31:43,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,3,1900-03-14 09:32:32,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,4,1900-03-14 09:35:19,0,0,0,0,1,0,0,0
Null,0,,,,,,,,,,,5,1900-03-14 09:58:08,0,0,0,0,0,1,0,0
Null,0,,,,,,,,,,,6,1900-03-14 09:58:13,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,7,1900-03-14 09:58:37,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,8,1900-03-14 09:58:44,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,9,1900-03-14 10:04:51,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,10,1900-03-14 10:05:15,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,11,1900-03-14 10:08:42,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,12,1900-03-14 10:08:47,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,13,1900-03-14 10:09:02,0,1,0,0,0,0,0,0
CONFIRMED,3,2.0,2,6,1900-03-14 10:09:08,36,Valid,5,0,5,0,14,1900-03-14 10:09:06,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,15,1900-03-14 10:09:18,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,16,1900-03-14 10:10:30,0,0,0,0,0,0,1,0
Null,0,,,,,,,,,,,17,1900-03-14 10:11:10,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,18,1900-03-14 10:15:30,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,19,1900-03-14 10:16:26,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,20,1900-03-14 10:38:46,0,0,0,0,0,0,1,0
Null,0,,,,,,,,,,,21,1900-03-14 10:38:57,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,22,1900-03-14 10:31:22,0,0,0,0,0,0,1,0
Null,0,,,,,,,,,,,23,1900-03-14 10:32:31,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,24,1900-03-14 10:33:04,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,25,1900-03-14 10:34:32,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,26,1900-03-14 10:34:49,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,27,1900-03-14 10:44:02,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,28,1900-03-14 10:44:22,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,29,1900-03-14 10:45:10,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,30,1900-03-14 10:45:22,1,0,0,0,0,0,0,0
CONFIRMED,3,0.0,5,28,1900-03-14 10:46:18,40,Valid,5,3,2,0,31,1900-03-14 10:46:18,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,32,1900-03-14 10:46:48,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,33,1900-03-14 10:48:00,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,34,1900-03-14 10:48:11,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,35,1900-03-14 10:48:13,1,0,0,0,0,0,0,0
CONFIRMED,1,2.0,6,30,1900-03-14 10:48:45,41,Valid,5,2,2,1,36,1900-03-14 10:48:43,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,37,1900-03-14 10:49:41,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,38,1900-03-14 10:50:01,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,39,1900-03-14 10:50:02,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,40,1900-03-14 10:50:13,1,0,0,0,0,0,0,0
