bayIDX,bayRecord,bayDate,bayTime,bayIn,bayOut,bayPassby,gtDate,gtTime,gtIns,gtOuts,gtPbN,gtPbF,gtLinger,gt_ll,gtMultiIn,gtMultiOut,gtMultiPb
1,6,14-Mar,10:09:08 AM,2,3,0,14-Mar,10:09:06 AM,3,1,0,0,1,0,0,0,0
2,6,14-Mar,10:09:08 AM,1,3,1,14-Mar,10:09:06 AM,1,3,0,0,0,0,1,0,0
3,6,14-Mar,10:09:08 AM,0,5,0,14-Mar,10:09:06 AM,0,4,0,1,0,0,0,0,0
4,28,14-Mar,10:46:18 AM,1,4,0,14-Mar,10:46:18 AM,2,2,0,0,0,0,0,1,0
5,28,14-Mar,10:46:18 AM,2,3,0,14-Mar,10:46:18 AM,2,2,0,0,0,0,0,1,0
6,28,14-Mar,10:46:18 AM,3,2,0,14-Mar,10:46:18 AM,3,2,0,0,0,0,0,0,0
7,30,14-Mar,10:48:45 AM,2,2,1,14-Mar,10:48:43 AM,3,2,0,0,0,0,0,0,0
8,35,14-Mar,10:50:42 AM,5,0,0,14-Mar,10:50:40 AM,5,0,0,0,0,0,0,0,0
9,42,14-Mar,10:53:17 AM,3,2,0,14-Mar,10:53:15 AM,4,2,0,0,0,0,0,0,0
10,45,14-Mar,10:55:09 AM,1,3,1,14-Mar,10:55:03 AM,2,2,0,0,0,0,1,0,0
11,48,14-Mar,10:57:01 AM,2,2,1,14-Mar,10:56:59 AM,2,3,0,0,0,0,0,0,0
12,51,14-Mar,10:58:29 AM,3,1,1,14-Mar,10:58:27 AM,4,1,0,0,0,0,0,0,0
14,73,14-Mar,11:58:22 AM,2,3,0,14-Mar,11:58:21 AM,3,2,0,0,0,0,0,0,0
15,73,14-Mar,11:58:22 AM,3,2,0,14-Mar,11:58:21 AM,3,2,0,0,0,0,0,0,0
16,73,14-Mar,11:58:22 AM,2,3,0,14-Mar,11:58:21 AM,3,2,0,0,0,0,0,0,0
17,79,14-Mar,12:03:41 PM,1,4,0,14-Mar,12:03:42 PM,0,5,0,0,0,0,0,0,0
18,83,14-Mar,12:07:09 PM,3,2,0,14-Mar,12:07:08 PM,3,0,0,0,0,0,0,0,0
19,88,14-Mar,12:17:20 PM,1,4,0,14-Mar,12:17:18 PM,1,4,0,0,0,0,0,0,0
20,88,14-Mar,12:17:20 PM,2,3,0,14-Mar,12:17:18 PM,2,1,0,0,0,0,2,0,0
22,92,14-Mar,12:26:33 PM,2,3,0,14-Mar,12:26:31 PM,2,1,0,2,0,0,0,0,0
23,94,14-Mar,12:29:51 PM,2,3,0,14-Mar,12:29:50 PM,2,2,0,0,0,0,0,0,0
24,96,14-Mar,1:46:30 PM,2,3,0,14-Mar,1:46:25 PM,3,2,0,0,0,0,0,0,0
25,96,14-Mar,1:46:30 PM,2,3,0,14-Mar,1:46:25 PM,2,2,0,0,0,0,1,0,0
26,96,14-Mar,1:46:30 PM,2,2,1,14-Mar,1:46:25 PM,3,1,0,0,0,0,1,0,0
27,103,14-Mar,2:16:33 PM,3,1,1,14-Mar,2:16:32 PM,0,0,0,0,0,0,0,0,0
28,103,14-Mar,2:16:33 PM,3,2,0,14-Mar,2:16:32 PM,2,1,0,0,0,0,3,1,0
29,103,14-Mar,2:16:33 PM,3,2,0,14-Mar,2:16:32 PM,2,3,0,0,0,0,0,0,0
30,108,14-Mar,3:17:11 PM,3,1,1,14-Mar,3:17:11 PM,2,3,0,0,0,0,0,0,0
31,108,14-Mar,3:17:11 PM,3,2,0,14-Mar,3:17:11 PM,2,3,0,0,0,0,0,0,0
32,108,14-Mar,3:17:11 PM,0,4,1,14-Mar,3:17:11 PM,3,2,0,0,0,0,0,0,0
33,112,14-Mar,3:18:53 PM,1,3,1,14-Mar,3:18:53 PM,1,3,0,0,1,0,0,0,0
34,116,14-Mar,3:21:58 PM,3,1,1,14-Mar,3:21:58 PM,3,1,0,0,0,0,1,0,0
35,124,14-Mar,4:03:48 PM,2,3,0,14-Mar,4:03:48 PM,0,0,0,0,0,0,0,0,0
36,124,14-Mar,4:03:48 PM,3,1,1,14-Mar,4:03:48 PM,3,1,0,0,1,0,0,0,0
37,124,14-Mar,4:03:48 PM,2,3,0,14-Mar,4:03:48 PM,4,1,0,0,0,0,0,0,0
38,126,14-Mar,4:04:48 PM,3,2,0,14-Mar,4:04:48 PM,3,3,0,0,0,0,0,0,0
39,128,14-Mar,4:18:27 PM,1,4,0,14-Mar,4:18:27 PM,1,4,0,0,0,0,0,0,0
40,128,14-Mar,4:18:27 PM,3,2,0,14-Mar,4:18:27 PM,3,2,0,0,0,0,0,0,0
41,129,14-Mar,4:19:24 PM,3,2,0,14-Mar,4:19:23 PM,3,2,0,0,0,0,0,0,0
42,131,14-Mar,4:20:32 PM,2,3,0,14-Mar,4:20:32 PM,2,3,0,0,0,0,0,0,0
43,144,14-Mar,4:41:36 PM,2,3,0,14-Mar,4:41:36 PM,2,3,0,0,0,0,0,0,0
44,144,14-Mar,4:41:36 PM,3,2,0,14-Mar,4:41:36 PM,3,2,0,0,0,0,0,0,0
45,151,14-Mar,4:43:48 PM,3,2,0,14-Mar,4:43:48 PM,2,3,0,0,0,0,0,0,0
46,156,14-Mar,5:05:59 PM,2,3,0,14-Mar,5:05:58 PM,1,0,0,0,0,0,0,0,0
47,156,14-Mar,5:05:59 PM,2,3,0,14-Mar,5:05:58 PM,2,3,0,0,0,0,0,0,0
102,296,19-Mar,10:13:26 AM,1,4,0,19-Mar,10:13:30 AM,3,0,0,0,1,0,1,0,0
124,329,19-Mar,12:06:12 PM,1,2,2,19-Mar,12:06:13 PM,4,1,0,0,0,0,0,0,0
143,367,19-Mar,1:07:13 PM,1,3,1,19-Mar,1:07:04 PM,0,0,0,0,0,0,0,0,0
144,367,19-Mar,1:07:13 PM,1,2,2,19-Mar,1:07:04 PM,2,3,0,0,0,0,0,0,0
149,373,19-Mar,2:23:32 PM,0,3,2,19-Mar,2:23:36 PM,2,3,0,0,0,0,0,0,0
235,520,19-Mar,10:17:43 PM,1,3,1,19-Mar,10:17:37 PM,2,3,0,0,0,0,0,0,0
240,537,19-Mar,10:41:04 PM,3,2,0,19-Mar,10:40:58 PM,3,2,0,0,0,0,0,0,0
241,537,19-Mar,10:41:04 PM,2,3,0,19-Mar,10:40:58 PM,2,3,0,0,0,0,0,0,0
249,551,20-Mar,9:09:37 AM,0,3,2,20-Mar,9:09:38 AM,5,0,0,0,0,0,0,0,0
286,635,21-Mar,8:17:26 AM,3,2,0,21-Mar,8:17:26 AM,3,2,0,0,0,0,0,0,0
289,711,24-Mar,2:07:27 PM,1,2,2,22-Mar,2:07:21 PM,2,3,0,0,0,0,0,0,0
291,810,24-Mar,6:57:45 PM,3,2,0,24-Mar,6:57:39 PM,1,3,0,0,0,0,2,0,0
292,810,24-Mar,6:57:45 PM,4,0,1,24-Mar,6:57:39 PM,3,0,0,0,0,0,2,0,0
293,816,24-Mar,7:58:58 PM,4,1,0,24-Mar,7:58:49 PM,2,0,0,0,0,0,1,0,0
294,816,24-Mar,7:58:58 PM,1,3,1,24-Mar,7:58:49 PM,1,3,0,0,0,0,0,0,0
295,816,24-Mar,7:58:58 PM,0,3,2,24-Mar,7:58:49 PM,0,2,0,1,0,0,1,1,0
296,821,25-Mar,8:48:13 AM,2,3,0,24-Mar,8:48:13 AM,3,2,0,0,0,0,0,0,0
297,821,25-Mar,8:48:13 AM,3,1,1,25-Mar,8:48:13 AM,2,3,0,0,0,0,0,0,0
298,821,25-Mar,8:48:13 AM,2,3,0,25-Mar,8:48:13 AM,3,3,0,0,0,0,0,0,0
299,823,25-Mar,9:51:22 AM,3,2,0,25-Mar,9:51:20 AM,3,2,0,1,0,0,0,0,0
300,823,25-Mar,9:51:22 AM,2,2,1,25-Mar,9:51:20 AM,3,0,0,0,0,0,2,0,0
301,823,25-Mar,9:51:22 AM,2,2,1,25-Mar,9:51:20 AM,5,0,0,0,0,0,0,0,0
302,827,25-Mar,9:53:18 AM,4,0,1,25-Mar,9:53:28 AM,3,0,0,0,0,0,2,0,0
303,831,25-Mar,9:54:06 AM,2,1,2,25-Mar,9:54:04 AM,2,1,0,0,0,0,0,0,0
304,833,25-Mar,9:56:57 AM,3,2,0,25-Mar,9:56:55 AM,2,2,0,0,0,0,1,0,0
306,844,25-Mar,10:03:29 AM,4,1,0,25-Mar,10:03:26 AM,4,1,0,0,0,0,0,0,0
307,847,25-Mar,10:09:36 AM,4,1,0,25-Mar,10:09:35 AM,3,0,0,0,0,0,1,0,0
308,862,25-Mar,10:56:55 AM,2,3,0,25-Mar,10:56:49 AM,3,2,0,0,0,0,0,0,0
309,862,25-Mar,10:56:55 AM,2,3,0,25-Mar,10:56:49 AM,3,1,0,0,0,0,1,0,0
