Record#,Date,Time Stamp,Packet#,Validity,Total,Ins,Outs,Passby
9,14-Mar,10:11:14 AM,0,Valid,5,0,0,5
9,14-Mar,10:11:14 AM,1,Valid,5,0,1,4
14,14-Mar,10:19:05 AM,2,Valid,5,1,1,3
17,14-Mar,10:29:54 AM,3,Valid,5,0,1,4
20,14-Mar,10:30:44 AM,4,Valid,5,2,3,0
23,14-Mar,10:31:17 AM,5,Valid,5,0,5,0
26,14-Mar,10:35:27 AM,6,Valid,5,0,3,2
29,14-Mar,10:46:38 AM,7,Valid,5,0,1,4
33,14-Mar,10:50:10 AM,8,Valid,5,3,1,1
36,14-Mar,10:51:03 AM,9,Valid,5,4,0,1
39,14-Mar,10:53:04 AM,10,Valid,5,3,0,2
44,14-Mar,10:54:54 AM,11,Valid,5,3,1,1
47,14-Mar,10:56:11 AM,12,Valid,5,2,0,3
50,14-Mar,10:57:51 AM,13,Valid,5,2,1,2
53,14-Mar,11:00:04 AM,14,Valid,5,3,1,1
61,14-Mar,11:10:05 AM,15,Valid,5,1,0,4
67,14-Mar,11:23:46 AM,16,Valid,5,0,3,2
86,14-Mar,12:16:25 PM,0,Valid,5,0,5,0
86,14-Mar,12:16:25 PM,1,Valid,5,1,3,1
89,14-Mar,12:22:59 PM,2,Valid,5,1,2,2
97,14-Mar,1:52:28 PM,3,Valid,5,0,0,5
97,14-Mar,1:52:28 PM,4,Valid,5,1,0,4
97,14-Mar,1:52:28 PM,5,Valid,5,0,0,5
98,14-Mar,1:56:39 PM,6,Valid,5,0,0,5
99,14-Mar,2:05:27 PM,7,Valid,5,1,0,4
99,14-Mar,2:05:27 PM,8,Valid,5,0,1,4
101,14-Mar,2:14:17 PM,9,Valid,5,0,0,5
106,14-Mar,3:16:57 PM,10,Valid,5,0,0,5
106,14-Mar,3:16:57 PM,11,Valid,5,4,0,1
106,14-Mar,3:16:57 PM,12,Valid,5,2,1,2
110,14-Mar,3:18:46 PM,13,Valid,5,1,0,4
114,14-Mar,3:20:52 PM,14,Valid,5,3,1,1
118,14-Mar,3:25:47 PM,0,Valid,5,2,0,3
120,14-Mar,3:34:31 PM,1,Valid,5,5,0,0
122,14-Mar,3:37:42 PM,2,Valid,5,0,3,2
133,14-Mar,4:21:43 PM,3,Valid,5,1,3,1
133,14-Mar,4:21:43 PM,4,Valid,5,2,3,0
133,14-Mar,4:21:43 PM,5,Valid,5,2,2,1
146,14-Mar,4:41:43 PM,6,Valid,5,2,1,2
146,14-Mar,4:41:43 PM,7,Valid,5,4,1,0
149,14-Mar,4:43:30 PM,8,Valid,5,2,2,1
524,19-Mar,10:18:49 PM,28,Valid,5,0,0,5
524,19-Mar,10:18:49 PM,29,Valid,5,4,0,1
524,19-Mar,10:18:49 PM,30,Valid,5,0,4,1
528,19-Mar,10:25:50 PM,31,Valid,5,0,3,2
535,19-Mar,10:39:56 PM,0,Valid,5,2,2,1
535,19-Mar,10:39:56 PM,1,Valid,5,3,2,0
628,21-Mar,8:04:23 AM,0,Valid,5,4,1,0
631,21-Mar,8:14:09 AM,1,Valid,5,2,3,0
633,21-Mar,8:16:36 AM,2,Valid,5,3,2,0
638,21-Mar,9:27:30 AM,3,Valid,5,1,2,2
638,21-Mar,9:27:30 AM,4,Valid,5,0,2,3
1179,26-Mar,7:04:34 PM,0,Valid,5,1,1,3
1179,26-Mar,7:04:34 PM,1,Valid,5,1,2,2
1181,26-Mar,7:05:11 PM,2,Valid,5,1,4,0
1188,27-Mar,8:28:09 AM,0,Valid,5,0,2,3
1188,27-Mar,8:28:09 AM,1,Valid,5,1,2,2
1191,27-Mar,8:30:06 AM,2,Valid,5,3,2,0
1204,27-Mar,9:29:30 AM,3,Valid,5,2,0,3
1204,27-Mar,9:29:30 AM,4,Valid,5,1,1,3
