,,,,,,,,Waldo:,Detected ppl,,EnOcean,,,,,,
1/10/23 17:02:15, preHW2,1,1,out,,out,,out,1,,hit,preHW2,,,,,
1/10/23 17:30:56, preHW2,2,2,in/in,"two people come in one after another, about 4 seconds",,in,in,1,,hit,,Total days,11,,,
1/10/23 17:46:23, preHW2,4,2,in/in,"four people walk in one after another after another, about 8 seconds",,in,in,1,,hit,,total ppl,1637,,pkt num,1294
1/10/23 17:56:34, preHW2,3,2,in/in,"3 people walk in, one then two came in after together, about 7 seconds",,in,in,1,,hit,,waldo saw,1316,80%,,
1/10/23 18:36:48, preHW2,1,1,out,,out,,out,1,,hit,,EnOcean saw,640,39%,,
1/10/23 18:37:01, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/10/23 18:47:12, preHW2,1,1,out,,out,,out,1,,hit,,cat 1,1100,85%,,100%
1/10/23 18:48:04, preHW2,1,1,in,,in,,in,1,,miss,,cat 2,130,10%,,1294
1/10/23 18:48:22, preHW2,1,1,out,,out,,out,1,,miss,,cat 3,64,5%,,
1/11/23 1:55:55, preHW2,1,1,out,,out,,out,1,,hit,,,GroundTruth,waldo correct,,
1/11/23 6:48:03, preHW2,1,1,in,,in,,in,1,,hit,,ins,579,560,,97%
1/11/23 7:16:36, preHW2,1,1,in,,,,out,1,,miss,,outs,512,476,,93%
1/11/23 7:19:14, preHW2,1,1,in,,in,,in,1,,hit,,pbi/pbo,9,,,
1/11/23 7:23:12, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 7:34:23, preHW2,1,1,out,,out,,out,1,,hit,,multiple in same direction results:,,,,
1/11/23 7:37:11, preHW2,1,1,in,,in,,in,1,,hit,,in/in,65,56,,86%
1/11/23 7:37:50, preHW2,1,1,out,,out,,out,1,,miss,,out/out,65,53,,82%
1/11/23 7:44:44, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 7:48:22, preHW2,1,1,pbin,lady comes out of her office off camera,,,pbo,1,,hit,,,,,,
1/11/23 7:52:54, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 7:53:21, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/11/23 8:27:24, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 8:36:39, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 8:42:33, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 8:43:53, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 8:44:38, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 8:46:21, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 8:46:54, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 8:49:10, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 8:51:45, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 8:57:26, preHW2,1,1,out,,,,pbi,1,,hit,,,,,,
1/11/23 8:57:41, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 8:57:59, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/11/23 9:27:37, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 9:32:01, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 9:34:20, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 9:36:24, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 9:44:49, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 9:52:38, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 9:53:12, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 9:54:04, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 9:56:37, preHW2,2,3,out/in,two people walk through in different direction in the same event,,,in,1,,hit,,,,,,
1/11/23 9:57:48, preHW2,1,1,out,,,,in,1,,miss,,,,,,
1/11/23 10:05:26, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 10:06:38, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/11/23 10:09:23, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 10:30:11, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 10:31:38, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 10:33:42, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 10:33:53, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/11/23 10:34:54, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 10:37:42, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 10:38:02, preHW2,2,2,out/out,two people walked out together at the same time,,out,out,1,,miss,,,,,,
1/11/23 10:41:16, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 10:43:19, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 10:50:25, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 10:50:33, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 10:51:25, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/11/23 10:52:52, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 10:54:14, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 11:05:41, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 11:05:49, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 11:07:13, preHW2,2,3,out/in,two people walk through in different direction in the same event,,,out,1,,miss,,,,,,
1/11/23 11:07:26, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 11:07:33, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 11:08:11, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 11:08:47, preHW2,2,2,in/in,"two people walking in after one another with a few seconds in between, this gt lasted about 7 seconds",,,in/in,2,,miss,,,,,,
1/11/23 11:09:14, preHW2,1,1,out,,,,in,1,,miss,,,,,,
1/11/23 11:10:23, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 11:10:32, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/11/23 11:11:12, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 11:11:59, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 11:12:49, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 11:14:19, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 11:27:36, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 11:29:11, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 11:54:01, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 11:54:13, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/11/23 11:54:17, preHW2,9,2,out/out,"9 people walk out, class got out, about 18 seconds of walks",,,in/pbi,2,,miss,,,,,,
1/11/23 11:56:44, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 12:03:24, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 12:06:39, preHW2,1,1,pbin,lady comes in of her office off camera,,,pbi,1,,hit,,,,,,
1/11/23 12:07:46, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 12:08:35, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/11/23 12:09:32, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 12:09:59, preHW2,2,2,out/out,,,out,out,1,,miss,,,,,,
1/11/23 12:12:17, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 12:13:14, preHW2,1,1,in,about 6 seconds,in,,in,1,,miss,,,,,,
1/11/23 12:16:47, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 12:24:04, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 12:35:40, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 12:38:42, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 12:39:19, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 12:39:58, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 12:51:24, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 12:52:27, preHW2,2,3,out/in,"some one comes in, the other person is going out,, lingers to talk then continues to go out, about 9 seconds",,,in,1,,miss,,,,,,
1/11/23 12:52:48, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/11/23 12:58:49, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 12:59:27, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/11/23 13:00:07, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 13:00:30, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 13:24:10, preHW2,2,2,in/in,"two people walk in slowly together then linger a bit on the pbin side, about 11 seconds",,in,in,1,,hit,,,,,,
1/11/23 13:30:27, preHW2,2,2,out/out,two people walk out together,,out,out,1,,hit,,,,,,
1/11/23 13:33:10, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 13:38:16, preHW2,1,1,out,,,,in,1,,hit,,,,,,
1/11/23 13:40:38, preHW2,3,2,in/in,one person walks in followed by two walking in together,,in,in,1,,hit,,,,,,
1/11/23 13:47:56, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 13:54:43, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 13:54:55, preHW2,1,3,uturn,"person starts to go out then switches back in, hard to tell if she crossed the sensor",,,in,1,,miss,,,,,,
1/11/23 14:03:04, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 14:05:13, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 14:06:54, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 14:08:04, preHW2,1,1,out,,,,in,1,,hit,,,,,,
1/11/23 14:08:23, preHW2,2,3,out/in,two people walk out in opposite directions,,,out,1,,miss,,,,,,
1/11/23 14:11:22, preHW2,3,2,in/in,"three, one then two people walkin in with a couple of seconds between",,in,in,1,,hit,,,,,,
1/11/23 14:12:16, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 14:14:57, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 14:16:42, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 14:17:33, preHW2,2,2,out/out,two people walk out side by side,,out,out,1,,hit,,,,,,
1/11/23 14:20:51, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 14:21:10, preHW2,2,2,in/in,two people walk in side by side,,in,in,1,,miss,,,,,,
1/11/23 14:21:28, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/11/23 14:22:56, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/11/23 14:24:22, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 14:26:17, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 14:32:18, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 14:33:56, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 14:46:47, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 14:47:00, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 14:49:25, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/11/23 14:49:31, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/11/23 15:01:55, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 5:36:19, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 5:39:55, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 5:40:52, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 5:43:01, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 7:26:06, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 7:28:42, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 7:30:52, preHW2,1,1,out,,,,in,1,,hit,,,,,,
1/12/23 7:34:04, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 7:43:47, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 7:56:53, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 7:58:39, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 9:00:14, preHW2,2,2,in/in,"two people walk in back to back, about 4 seconds",,in,in,1,,hit,,,,,,
1/12/23 9:01:58, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 9:03:29, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 9:04:35, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 9:08:08, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 9:10:33, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 9:11:38, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 9:11:45, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
